transaction_id,account_id,customer_id,transaction_date,currency_code,amount_original,issue_reason
1001146,183,183,2025-03-10,GBP,1840.17,NO_FX_RATE_FOR_DATE_CURRENCY
1001179,185,185,2025-03-10,DKK,2751.01,NO_FX_RATE_FOR_DATE_CURRENCY
1013549,187,187,2025-03-10,ISK,5070.47,NO_FX_RATE_FOR_DATE_CURRENCY
1034530,208,208,2025-03-10,RON,3970.35,NO_FX_RATE_FOR_DATE_CURRENCY
1021295,210,210,2025-03-10,DKK,3921.43,NO_FX_RATE_FOR_DATE_CURRENCY
1033024,221,221,2025-03-10,BGN,5001.66,NO_FX_RATE_FOR_DATE_CURRENCY
1048024,223,223,2025-03-10,CZK,833.67,NO_FX_RATE_FOR_DATE_CURRENCY
1011666,230,230,2025-03-10,AUD,7668.75,NO_FX_RATE_FOR_DATE_CURRENCY
1048679,259,259,2025-03-10,PLN,9667.47,NO_FX_RATE_FOR_DATE_CURRENCY
1010214,260,260,2025-03-10,PLN,770.51,NO_FX_RATE_FOR_DATE_CURRENCY
1043095,265,265,2025-03-10,BGN,7920.74,NO_FX_RATE_FOR_DATE_CURRENCY
1037548,269,269,2025-03-10,HUF,938.47,NO_FX_RATE_FOR_DATE_CURRENCY
1047203,271,271,2025-03-10,HUF,8772.73,NO_FX_RATE_FOR_DATE_CURRENCY
1015807,272,272,2025-03-10,JPY,6623.71,NO_FX_RATE_FOR_DATE_CURRENCY
1032692,276,276,2025-03-10,RON,7027.76,NO_FX_RATE_FOR_DATE_CURRENCY
1049934,276,276,2025-03-10,HUF,6081.36,NO_FX_RATE_FOR_DATE_CURRENCY
1051498,283,283,2025-03-10,PLN,5543.46,NO_FX_RATE_FOR_DATE_CURRENCY
1040566,287,287,2025-03-10,CZK,5148.84,NO_FX_RATE_FOR_DATE_CURRENCY
1050440,295,295,2025-03-10,GBP,2752.6,NO_FX_RATE_FOR_DATE_CURRENCY
1025323,298,298,2025-03-10,RON,7875.14,NO_FX_RATE_FOR_DATE_CURRENCY
1002930,300,300,2025-03-10,GBP,9435.19,NO_FX_RATE_FOR_DATE_CURRENCY
1026231,302,302,2025-03-10,CZK,4469.78,NO_FX_RATE_FOR_DATE_CURRENCY
1029149,310,310,2025-03-10,GBP,4808.2,NO_FX_RATE_FOR_DATE_CURRENCY
1012948,319,319,2025-03-10,CHF,1420.57,NO_FX_RATE_FOR_DATE_CURRENCY
1018703,342,342,2025-03-10,PLN,5477.39,NO_FX_RATE_FOR_DATE_CURRENCY
1015522,345,345,2025-03-10,ISK,145.39,NO_FX_RATE_FOR_DATE_CURRENCY
1049152,347,347,2025-03-10,JPY,3696.32,NO_FX_RATE_FOR_DATE_CURRENCY
1046911,365,365,2025-03-10,NOK,9452.09,NO_FX_RATE_FOR_DATE_CURRENCY
1018791,368,368,2025-03-10,HUF,3261.6,NO_FX_RATE_FOR_DATE_CURRENCY
1040508,373,373,2025-03-10,JPY,3873.01,NO_FX_RATE_FOR_DATE_CURRENCY
1029642,374,374,2025-03-10,ISK,89.98,NO_FX_RATE_FOR_DATE_CURRENCY
1049605,377,377,2025-03-10,NOK,2206.57,NO_FX_RATE_FOR_DATE_CURRENCY
1002834,409,409,2025-03-10,AUD,6797.5,NO_FX_RATE_FOR_DATE_CURRENCY
1046596,425,425,2025-03-10,PLN,1573.02,NO_FX_RATE_FOR_DATE_CURRENCY
1005413,429,429,2025-03-10,JPY,4131.61,NO_FX_RATE_FOR_DATE_CURRENCY
1013816,432,432,2025-03-10,DKK,1819.5,NO_FX_RATE_FOR_DATE_CURRENCY
1007071,438,438,2025-03-10,NOK,8264.55,NO_FX_RATE_FOR_DATE_CURRENCY
1043454,438,438,2025-03-10,GBP,147.19,NO_FX_RATE_FOR_DATE_CURRENCY
1008526,444,444,2025-03-10,TRY,1839.49,NO_FX_RATE_FOR_DATE_CURRENCY
1044333,447,447,2025-03-10,AUD,4140.06,NO_FX_RATE_FOR_DATE_CURRENCY
1014254,449,449,2025-03-10,JPY,8192.54,NO_FX_RATE_FOR_DATE_CURRENCY
1007424,468,468,2025-03-10,TRY,6207.82,NO_FX_RATE_FOR_DATE_CURRENCY
1039785,476,476,2025-03-10,RON,4628.57,NO_FX_RATE_FOR_DATE_CURRENCY
1034266,510,510,2025-03-10,AUD,4590.79,NO_FX_RATE_FOR_DATE_CURRENCY
1019946,516,516,2025-03-10,DKK,1677.26,NO_FX_RATE_FOR_DATE_CURRENCY
1050955,517,517,2025-03-10,AUD,3619.34,NO_FX_RATE_FOR_DATE_CURRENCY
1048238,524,524,2025-03-10,JPY,9076.49,NO_FX_RATE_FOR_DATE_CURRENCY
1016894,528,528,2025-03-10,CZK,9202.97,NO_FX_RATE_FOR_DATE_CURRENCY
1045584,532,532,2025-03-10,PLN,4610.5,NO_FX_RATE_FOR_DATE_CURRENCY
1008022,536,536,2025-03-10,ISK,4262.49,NO_FX_RATE_FOR_DATE_CURRENCY
1010274,542,542,2025-03-10,JPY,9868.67,NO_FX_RATE_FOR_DATE_CURRENCY
1010523,544,544,2025-03-10,TRY,7153.95,NO_FX_RATE_FOR_DATE_CURRENCY
1055509,551,551,2025-03-10,RON,2359.07,NO_FX_RATE_FOR_DATE_CURRENCY
1019335,552,552,2025-03-10,CZK,6904.98,NO_FX_RATE_FOR_DATE_CURRENCY
1030137,554,554,2025-03-10,DKK,3882.27,NO_FX_RATE_FOR_DATE_CURRENCY
1033894,555,555,2025-03-10,TRY,8244.62,NO_FX_RATE_FOR_DATE_CURRENCY
1022365,556,556,2025-03-10,RON,7063.06,NO_FX_RATE_FOR_DATE_CURRENCY
1013718,559,559,2025-03-10,TRY,9876.73,NO_FX_RATE_FOR_DATE_CURRENCY
1033865,567,567,2025-03-10,DKK,2418.22,NO_FX_RATE_FOR_DATE_CURRENCY
1047339,567,567,2025-03-10,RON,7416.09,NO_FX_RATE_FOR_DATE_CURRENCY
1049857,568,568,2025-03-10,TRY,6721.05,NO_FX_RATE_FOR_DATE_CURRENCY
1002580,610,610,2025-03-10,HUF,2947.65,NO_FX_RATE_FOR_DATE_CURRENCY
1001329,613,613,2025-03-10,TRY,7776.22,NO_FX_RATE_FOR_DATE_CURRENCY
1054082,615,615,2025-03-10,PLN,3199.79,NO_FX_RATE_FOR_DATE_CURRENCY
1002459,633,633,2025-03-10,NOK,5506.42,NO_FX_RATE_FOR_DATE_CURRENCY
1017922,649,649,2025-03-10,SEK,6372.47,NO_FX_RATE_FOR_DATE_CURRENCY
1010880,662,662,2025-03-10,SEK,3686.57,NO_FX_RATE_FOR_DATE_CURRENCY
1020197,673,673,2025-03-10,CHF,8629.82,NO_FX_RATE_FOR_DATE_CURRENCY
1020556,684,684,2025-03-10,ISK,8096.97,NO_FX_RATE_FOR_DATE_CURRENCY
1023676,692,692,2025-03-10,RON,5949.92,NO_FX_RATE_FOR_DATE_CURRENCY
1017096,693,693,2025-03-10,HUF,1778.94,NO_FX_RATE_FOR_DATE_CURRENCY
1030654,695,695,2025-03-10,CHF,4951.31,NO_FX_RATE_FOR_DATE_CURRENCY
1052841,699,699,2025-03-10,CHF,5413.64,NO_FX_RATE_FOR_DATE_CURRENCY
1030256,700,700,2025-03-10,PLN,8038.97,NO_FX_RATE_FOR_DATE_CURRENCY
1012913,702,702,2025-03-10,GBP,7165.06,NO_FX_RATE_FOR_DATE_CURRENCY
1007666,707,707,2025-03-10,BGN,4597.08,NO_FX_RATE_FOR_DATE_CURRENCY
1020517,709,709,2025-03-10,HUF,7230.75,NO_FX_RATE_FOR_DATE_CURRENCY
1011350,715,715,2025-03-10,TRY,2403.35,NO_FX_RATE_FOR_DATE_CURRENCY
1027073,733,733,2025-03-10,JPY,5537.61,NO_FX_RATE_FOR_DATE_CURRENCY
1024074,738,738,2025-03-10,ISK,2672.71,NO_FX_RATE_FOR_DATE_CURRENCY
1016898,748,748,2025-03-10,AUD,3606.97,NO_FX_RATE_FOR_DATE_CURRENCY
1017099,755,755,2025-03-10,DKK,3825.92,NO_FX_RATE_FOR_DATE_CURRENCY
1011447,761,761,2025-03-10,ISK,5642.42,NO_FX_RATE_FOR_DATE_CURRENCY
1019668,762,762,2025-03-10,AUD,9856.41,NO_FX_RATE_FOR_DATE_CURRENCY
1023777,762,762,2025-03-10,SEK,5718.98,NO_FX_RATE_FOR_DATE_CURRENCY
1020654,772,772,2025-03-10,DKK,3238.67,NO_FX_RATE_FOR_DATE_CURRENCY
1017906,791,791,2025-03-10,RON,9542.22,NO_FX_RATE_FOR_DATE_CURRENCY
1040147,793,793,2025-03-10,JPY,5902.88,NO_FX_RATE_FOR_DATE_CURRENCY
1034926,794,794,2025-03-10,GBP,128.53,NO_FX_RATE_FOR_DATE_CURRENCY
1038972,797,797,2025-03-10,RON,9514.9,NO_FX_RATE_FOR_DATE_CURRENCY
1032798,800,800,2025-03-10,CZK,8508.84,NO_FX_RATE_FOR_DATE_CURRENCY
1031506,804,804,2025-03-10,PLN,9380.93,NO_FX_RATE_FOR_DATE_CURRENCY
1041258,805,805,2025-03-10,RON,8981.04,NO_FX_RATE_FOR_DATE_CURRENCY
1003618,815,815,2025-03-10,CZK,8339.66,NO_FX_RATE_FOR_DATE_CURRENCY
1037857,816,816,2025-03-10,ISK,9014.67,NO_FX_RATE_FOR_DATE_CURRENCY
1021937,824,824,2025-03-10,JPY,1998.97,NO_FX_RATE_FOR_DATE_CURRENCY
1055842,857,857,2025-03-10,HUF,7866.29,NO_FX_RATE_FOR_DATE_CURRENCY
1032839,859,859,2025-03-10,JPY,4561.91,NO_FX_RATE_FOR_DATE_CURRENCY
1048974,867,867,2025-03-10,ISK,2437.06,NO_FX_RATE_FOR_DATE_CURRENCY
1040951,887,887,2025-03-10,NOK,9625.54,NO_FX_RATE_FOR_DATE_CURRENCY
1012930,895,895,2025-03-10,NOK,1852.87,NO_FX_RATE_FOR_DATE_CURRENCY
1019899,903,903,2025-03-10,PLN,1130.45,NO_FX_RATE_FOR_DATE_CURRENCY
1055171,906,906,2025-03-10,ISK,3991.81,NO_FX_RATE_FOR_DATE_CURRENCY
1041842,933,933,2025-03-10,SEK,3953.58,NO_FX_RATE_FOR_DATE_CURRENCY
1023628,939,939,2025-03-10,ISK,8547.5,NO_FX_RATE_FOR_DATE_CURRENCY
1042032,940,940,2025-03-10,HUF,172.8,NO_FX_RATE_FOR_DATE_CURRENCY
1012985,951,951,2025-03-10,DKK,1094.01,NO_FX_RATE_FOR_DATE_CURRENCY
1047638,953,953,2025-03-10,AUD,2032.08,NO_FX_RATE_FOR_DATE_CURRENCY
1000552,955,955,2025-03-10,CHF,8040.69,NO_FX_RATE_FOR_DATE_CURRENCY
1004283,955,955,2025-03-10,TRY,5201.71,NO_FX_RATE_FOR_DATE_CURRENCY
1029666,955,955,2025-03-10,RON,1034.84,NO_FX_RATE_FOR_DATE_CURRENCY
1046654,967,967,2025-03-10,ISK,5772.94,NO_FX_RATE_FOR_DATE_CURRENCY
1004920,969,969,2025-03-10,SEK,2724.95,NO_FX_RATE_FOR_DATE_CURRENCY
1002167,974,974,2025-03-10,RON,8993.84,NO_FX_RATE_FOR_DATE_CURRENCY
1047635,979,979,2025-03-10,CHF,3769.21,NO_FX_RATE_FOR_DATE_CURRENCY
1036069,987,987,2025-03-10,NOK,4332.37,NO_FX_RATE_FOR_DATE_CURRENCY
1049221,999,999,2025-03-10,AUD,7955.77,NO_FX_RATE_FOR_DATE_CURRENCY
1031263,1016,1016,2025-03-10,CHF,8067.15,NO_FX_RATE_FOR_DATE_CURRENCY
1035428,1021,1021,2025-03-10,AUD,3703.51,NO_FX_RATE_FOR_DATE_CURRENCY
1015243,1022,1022,2025-03-10,TRY,5299.72,NO_FX_RATE_FOR_DATE_CURRENCY
1010598,1032,1032,2025-03-10,HUF,7330.71,NO_FX_RATE_FOR_DATE_CURRENCY
1035443,1047,1047,2025-03-10,AUD,4629.49,NO_FX_RATE_FOR_DATE_CURRENCY
1030242,1064,1064,2025-03-10,ISK,3425.83,NO_FX_RATE_FOR_DATE_CURRENCY
1054794,1064,1064,2025-03-10,CHF,1989.69,NO_FX_RATE_FOR_DATE_CURRENCY
1009853,1065,1065,2025-03-10,HUF,5833.08,NO_FX_RATE_FOR_DATE_CURRENCY
1036851,1075,1075,2025-03-10,GBP,7962.93,NO_FX_RATE_FOR_DATE_CURRENCY
1047081,1075,1075,2025-03-10,AUD,4141.91,NO_FX_RATE_FOR_DATE_CURRENCY
1002850,1080,1080,2025-03-10,RON,7224.22,NO_FX_RATE_FOR_DATE_CURRENCY
1021876,1086,1086,2025-03-10,CZK,1599.34,NO_FX_RATE_FOR_DATE_CURRENCY
1047204,1112,1112,2025-03-10,DKK,6347.6,NO_FX_RATE_FOR_DATE_CURRENCY
1015945,1113,1113,2025-03-10,SEK,4238.58,NO_FX_RATE_FOR_DATE_CURRENCY
1017361,1118,1118,2025-03-10,CHF,7817.41,NO_FX_RATE_FOR_DATE_CURRENCY
1053153,1125,1125,2025-03-10,CZK,4948.79,NO_FX_RATE_FOR_DATE_CURRENCY
1047078,1126,1126,2025-03-10,JPY,5317.34,NO_FX_RATE_FOR_DATE_CURRENCY
1036994,1135,1135,2025-03-10,SEK,4307.39,NO_FX_RATE_FOR_DATE_CURRENCY
1039373,1135,1135,2025-03-10,SEK,2404.25,NO_FX_RATE_FOR_DATE_CURRENCY
1000682,1142,1142,2025-03-10,RON,3493.05,NO_FX_RATE_FOR_DATE_CURRENCY
1008634,1144,1144,2025-03-10,RON,7619.9,NO_FX_RATE_FOR_DATE_CURRENCY
1036760,1148,1148,2025-03-10,CHF,9251.23,NO_FX_RATE_FOR_DATE_CURRENCY
1026385,1179,1179,2025-03-10,RON,3325.2,NO_FX_RATE_FOR_DATE_CURRENCY
1013185,1182,1182,2025-03-10,ISK,8414.16,NO_FX_RATE_FOR_DATE_CURRENCY
1032336,1188,1188,2025-03-10,HUF,6030.62,NO_FX_RATE_FOR_DATE_CURRENCY
1049641,1190,1190,2025-03-10,HUF,1872.26,NO_FX_RATE_FOR_DATE_CURRENCY
1031836,1195,1195,2025-03-10,CZK,4954.77,NO_FX_RATE_FOR_DATE_CURRENCY
1004804,1197,1197,2025-03-10,CZK,3.2,NO_FX_RATE_FOR_DATE_CURRENCY
1038275,1198,1198,2025-03-10,PLN,8291.91,NO_FX_RATE_FOR_DATE_CURRENCY
1039478,1198,1198,2025-03-10,GBP,1991.09,NO_FX_RATE_FOR_DATE_CURRENCY
1036111,1209,1209,2025-03-10,BGN,1626.55,NO_FX_RATE_FOR_DATE_CURRENCY
1019061,1214,1214,2025-03-10,CHF,2974.53,NO_FX_RATE_FOR_DATE_CURRENCY
1009668,1217,1217,2025-03-10,SEK,892.04,NO_FX_RATE_FOR_DATE_CURRENCY
1008122,1218,1218,2025-03-10,CZK,5157.44,NO_FX_RATE_FOR_DATE_CURRENCY
1021851,1221,1221,2025-03-10,ISK,702.55,NO_FX_RATE_FOR_DATE_CURRENCY
1033015,1224,1224,2025-03-10,HUF,2424.96,NO_FX_RATE_FOR_DATE_CURRENCY
1042215,1229,1229,2025-03-10,NOK,6999.79,NO_FX_RATE_FOR_DATE_CURRENCY
1038192,1232,1232,2025-03-10,NOK,3938.49,NO_FX_RATE_FOR_DATE_CURRENCY
1054218,1233,1233,2025-03-10,AUD,7629.66,NO_FX_RATE_FOR_DATE_CURRENCY
1013165,1239,1239,2025-03-10,GBP,5512.89,NO_FX_RATE_FOR_DATE_CURRENCY
1055860,1263,1263,2025-03-10,PLN,7215.38,NO_FX_RATE_FOR_DATE_CURRENCY
1053413,1267,1267,2025-03-10,DKK,4768.2,NO_FX_RATE_FOR_DATE_CURRENCY
1045823,1272,1272,2025-03-10,PLN,4036.14,NO_FX_RATE_FOR_DATE_CURRENCY
1051214,1278,1278,2025-03-10,AUD,1789.1,NO_FX_RATE_FOR_DATE_CURRENCY
1022908,1283,1283,2025-03-10,AUD,6541.32,NO_FX_RATE_FOR_DATE_CURRENCY
1028915,1290,1290,2025-03-10,CHF,3997.37,NO_FX_RATE_FOR_DATE_CURRENCY
1050275,1295,1295,2025-03-10,NOK,5083.23,NO_FX_RATE_FOR_DATE_CURRENCY
1027109,1301,1301,2025-03-10,SEK,6616.27,NO_FX_RATE_FOR_DATE_CURRENCY
1021640,1311,1311,2025-03-10,TRY,964.35,NO_FX_RATE_FOR_DATE_CURRENCY
1041337,1314,1314,2025-03-10,GBP,4380.99,NO_FX_RATE_FOR_DATE_CURRENCY
1048613,1315,1315,2025-03-10,CZK,7875.47,NO_FX_RATE_FOR_DATE_CURRENCY
1034970,1316,1316,2025-03-10,BGN,9423.71,NO_FX_RATE_FOR_DATE_CURRENCY
1013672,1320,1320,2025-03-10,SEK,4170.19,NO_FX_RATE_FOR_DATE_CURRENCY
1022274,1327,1327,2025-03-10,NOK,8072.03,NO_FX_RATE_FOR_DATE_CURRENCY
1015205,1329,1329,2025-03-10,GBP,5572.72,NO_FX_RATE_FOR_DATE_CURRENCY
1040123,1331,1331,2025-03-10,NOK,9291.71,NO_FX_RATE_FOR_DATE_CURRENCY
1031985,1336,1336,2025-03-10,DKK,4787.88,NO_FX_RATE_FOR_DATE_CURRENCY
1048674,1339,1339,2025-03-10,GBP,5280.06,NO_FX_RATE_FOR_DATE_CURRENCY
1012882,1361,1361,2025-03-10,GBP,1309.61,NO_FX_RATE_FOR_DATE_CURRENCY
1038985,1366,1366,2025-03-10,GBP,3158.72,NO_FX_RATE_FOR_DATE_CURRENCY
1002272,1368,1368,2025-03-10,AUD,5211.44,NO_FX_RATE_FOR_DATE_CURRENCY
1012467,1375,1375,2025-03-10,RON,3661.85,NO_FX_RATE_FOR_DATE_CURRENCY
1024894,1386,1386,2025-03-10,NOK,1423.66,NO_FX_RATE_FOR_DATE_CURRENCY
1052154,1393,1393,2025-03-10,BGN,4753.15,NO_FX_RATE_FOR_DATE_CURRENCY
1045583,1398,1398,2025-03-10,GBP,2065.29,NO_FX_RATE_FOR_DATE_CURRENCY
1017547,1405,1405,2025-03-10,CZK,2053.0,NO_FX_RATE_FOR_DATE_CURRENCY
1004779,1420,1420,2025-03-10,PLN,4133.24,NO_FX_RATE_FOR_DATE_CURRENCY
1042051,1420,1420,2025-03-10,RON,1965.26,NO_FX_RATE_FOR_DATE_CURRENCY
1049053,1433,1433,2025-03-10,BGN,4319.71,NO_FX_RATE_FOR_DATE_CURRENCY
1020918,1449,1449,2025-03-10,TRY,9457.46,NO_FX_RATE_FOR_DATE_CURRENCY
1039347,1464,1464,2025-03-10,SEK,1537.62,NO_FX_RATE_FOR_DATE_CURRENCY
1024049,1473,1473,2025-03-10,RON,5283.38,NO_FX_RATE_FOR_DATE_CURRENCY
1028774,1473,1473,2025-03-10,TRY,5145.61,NO_FX_RATE_FOR_DATE_CURRENCY
1020385,1475,1475,2025-03-10,CZK,5602.86,NO_FX_RATE_FOR_DATE_CURRENCY
1033413,1481,1481,2025-03-10,CZK,8382.48,NO_FX_RATE_FOR_DATE_CURRENCY
1004729,1489,1489,2025-03-10,SEK,4190.44,NO_FX_RATE_FOR_DATE_CURRENCY
1000247,1502,1502,2025-03-10,NOK,3332.88,NO_FX_RATE_FOR_DATE_CURRENCY
1028695,1508,1508,2025-03-10,HUF,4804.98,NO_FX_RATE_FOR_DATE_CURRENCY
1012633,1511,1511,2025-03-10,PLN,8899.29,NO_FX_RATE_FOR_DATE_CURRENCY
1031895,1515,1515,2025-03-10,ISK,8138.65,NO_FX_RATE_FOR_DATE_CURRENCY
1009089,1519,1519,2025-03-10,AUD,7044.01,NO_FX_RATE_FOR_DATE_CURRENCY
1053169,1528,1528,2025-03-10,CZK,3314.87,NO_FX_RATE_FOR_DATE_CURRENCY
1035561,1531,1531,2025-03-10,SEK,4878.78,NO_FX_RATE_FOR_DATE_CURRENCY
1047964,1534,1534,2025-03-10,TRY,7384.23,NO_FX_RATE_FOR_DATE_CURRENCY
1025290,1558,1558,2025-03-10,BGN,3508.67,NO_FX_RATE_FOR_DATE_CURRENCY
1006027,1566,1566,2025-03-10,CHF,1143.51,NO_FX_RATE_FOR_DATE_CURRENCY
1009991,1566,1566,2025-03-10,ISK,1758.06,NO_FX_RATE_FOR_DATE_CURRENCY
1010258,1574,1574,2025-03-10,PLN,1803.92,NO_FX_RATE_FOR_DATE_CURRENCY
1021930,1594,1594,2025-03-10,ISK,1819.28,NO_FX_RATE_FOR_DATE_CURRENCY
1023439,1598,1598,2025-03-10,NOK,1287.85,NO_FX_RATE_FOR_DATE_CURRENCY
1009675,1603,1603,2025-03-10,BGN,1318.07,NO_FX_RATE_FOR_DATE_CURRENCY
1033592,1604,1604,2025-03-10,NOK,5190.48,NO_FX_RATE_FOR_DATE_CURRENCY
1038308,1617,1617,2025-03-10,NOK,2693.72,NO_FX_RATE_FOR_DATE_CURRENCY
1008585,1622,1622,2025-03-10,RON,1629.01,NO_FX_RATE_FOR_DATE_CURRENCY
1047957,1629,1629,2025-03-10,SEK,7453.46,NO_FX_RATE_FOR_DATE_CURRENCY
1048040,1632,1632,2025-03-10,GBP,8879.5,NO_FX_RATE_FOR_DATE_CURRENCY
1013501,1649,1649,2025-03-10,BGN,4790.47,NO_FX_RATE_FOR_DATE_CURRENCY
1036483,1649,1649,2025-03-10,CHF,2750.19,NO_FX_RATE_FOR_DATE_CURRENCY
1049393,1649,1649,2025-03-10,GBP,7489.97,NO_FX_RATE_FOR_DATE_CURRENCY
1037616,1655,1655,2025-03-10,TRY,3151.75,NO_FX_RATE_FOR_DATE_CURRENCY
1004629,1664,1664,2025-03-10,HUF,9687.43,NO_FX_RATE_FOR_DATE_CURRENCY
1022870,1669,1669,2025-03-10,ISK,4340.1,NO_FX_RATE_FOR_DATE_CURRENCY
1016021,1671,1671,2025-03-10,PLN,4704.42,NO_FX_RATE_FOR_DATE_CURRENCY
1031433,1679,1679,2025-03-10,NOK,9683.36,NO_FX_RATE_FOR_DATE_CURRENCY
1032072,1684,1684,2025-03-10,CHF,1980.38,NO_FX_RATE_FOR_DATE_CURRENCY
1018142,1685,1685,2025-03-10,AUD,3991.15,NO_FX_RATE_FOR_DATE_CURRENCY
1007385,1690,1690,2025-03-10,PLN,9519.3,NO_FX_RATE_FOR_DATE_CURRENCY
1037564,1694,1694,2025-03-10,CZK,8609.82,NO_FX_RATE_FOR_DATE_CURRENCY
1053928,1704,1704,2025-03-10,JPY,5960.27,NO_FX_RATE_FOR_DATE_CURRENCY
1009206,1723,1723,2025-03-10,JPY,174.05,NO_FX_RATE_FOR_DATE_CURRENCY
1054079,1723,1723,2025-03-10,BGN,9696.32,NO_FX_RATE_FOR_DATE_CURRENCY
1054859,1724,1724,2025-03-10,JPY,7594.26,NO_FX_RATE_FOR_DATE_CURRENCY
1007269,1729,1729,2025-03-10,JPY,6678.07,NO_FX_RATE_FOR_DATE_CURRENCY
1020689,1733,1733,2025-03-10,SEK,6529.4,NO_FX_RATE_FOR_DATE_CURRENCY
1019841,1738,1738,2025-03-10,GBP,3265.14,NO_FX_RATE_FOR_DATE_CURRENCY
1042477,1739,1739,2025-03-10,CHF,3005.29,NO_FX_RATE_FOR_DATE_CURRENCY
1007003,1741,1741,2025-03-10,CHF,599.82,NO_FX_RATE_FOR_DATE_CURRENCY
1026765,1750,1750,2025-03-10,TRY,8532.08,NO_FX_RATE_FOR_DATE_CURRENCY
1049178,1756,1756,2025-03-10,CHF,9969.28,NO_FX_RATE_FOR_DATE_CURRENCY
1040077,1758,1758,2025-03-10,RON,9837.19,NO_FX_RATE_FOR_DATE_CURRENCY
1012920,1771,1771,2025-03-10,CZK,6905.64,NO_FX_RATE_FOR_DATE_CURRENCY
1045023,1779,1779,2025-03-10,BGN,6063.92,NO_FX_RATE_FOR_DATE_CURRENCY
1036991,1780,1780,2025-03-10,ISK,2612.82,NO_FX_RATE_FOR_DATE_CURRENCY
1033955,1781,1781,2025-03-10,RON,9318.84,NO_FX_RATE_FOR_DATE_CURRENCY
1043791,1789,1789,2025-03-10,GBP,9995.12,NO_FX_RATE_FOR_DATE_CURRENCY
1027868,1791,1791,2025-03-10,RON,300.19,NO_FX_RATE_FOR_DATE_CURRENCY
1002888,1813,1813,2025-03-10,NOK,672.83,NO_FX_RATE_FOR_DATE_CURRENCY
1045434,1826,1826,2025-03-10,TRY,9847.32,NO_FX_RATE_FOR_DATE_CURRENCY
