account_id,customer_id,account_opening_date,account_type
88,88,2008-12-18,current
89,89,2008-02-23,savings
90,90,1998-12-14,savings
91,91,2010-10-16,current
92,92,2003-07-03,savings
93,93,2016-08-13,current
94,94,2006-07-01,savings
95,95,2024-11-03,savings
96,96,2023-08-13,current
97,97,2023-12-27,current
98,98,2001-09-21,savings
99,99,2015-02-14,current
100,100,2008-01-20,current
101,101,2007-03-20,savings
102,102,2009-10-22,savings
103,103,1996-02-28,savings
104,104,2005-11-12,current
105,105,2012-04-17,savings
106,106,2019-12-18,current
107,107,2024-06-27,savings
108,108,2003-10-04,current
109,109,2006-01-13,current
110,110,2019-10-06,savings
111,111,1998-08-28,savings
112,112,2024-01-18,current
113,113,2012-10-24,savings
114,114,2002-07-02,savings
115,115,2023-05-25,current
116,116,2000-06-03,current
117,117,2004-08-03,savings
118,118,2011-05-23,savings
119,119,1999-03-06,savings
120,120,2024-03-25,savings
121,121,2022-07-21,savings
122,122,2011-04-04,current
123,123,2020-10-09,savings
124,124,2000-04-28,current
125,125,1999-10-09,savings
126,126,2009-06-06,savings
127,127,2021-08-01,savings
128,128,2017-12-20,current
129,129,2015-02-12,savings
130,130,1999-06-12,current
131,131,2005-05-28,current
132,132,2005-06-27,savings
133,133,2020-10-22,savings
134,134,2003-04-18,savings
135,135,2006-08-25,savings
136,136,2019-06-05,current
137,137,2006-02-14,current
138,138,2005-08-04,savings
139,139,2003-02-07,current
140,140,2018-10-20,savings
141,141,1996-04-20,current
142,142,2004-11-14,savings
143,143,1998-12-10,savings
144,144,2013-05-22,current
145,145,2007-09-16,current
146,146,2020-02-16,current
147,147,2011-08-08,savings
148,148,1997-12-13,current
149,149,1998-01-11,savings
150,150,2011-09-05,savings
151,151,2002-03-24,savings
152,152,1996-04-28,savings
153,153,2009-12-24,current
154,154,2008-07-23,savings
155,155,2000-07-22,savings
156,156,2018-09-01,savings
157,157,2022-03-27,current
158,158,2000-04-14,current
159,159,1997-09-26,current
160,160,2004-02-06,savings
161,161,2015-04-10,current
162,162,2000-05-22,current
163,163,2000-06-17,savings
164,164,1996-08-17,savings
165,165,2002-04-02,current
166,166,2011-03-18,current
167,167,2007-03-01,savings
168,168,2016-10-06,current
169,169,2023-02-04,savings
170,170,2024-06-08,savings
171,171,2009-09-08,savings
172,172,2016-01-18,savings
173,173,2018-12-21,current
174,174,2014-08-20,savings
175,175,2007-12-26,savings
176,176,2006-08-24,current
177,177,2002-06-26,current
178,178,2011-07-24,current
179,179,2012-01-11,savings
180,180,2013-03-17,savings
181,181,2024-05-08,savings
182,182,2018-11-09,current
183,183,2003-02-06,current
184,184,2002-11-02,savings
185,185,2001-03-13,savings
186,186,2008-05-25,savings
187,187,2022-03-03,current
188,188,1997-06-14,current
189,189,2004-11-09,savings
190,190,2011-11-07,current
191,191,2022-03-28,current
192,192,2002-01-04,current
193,193,2015-01-01,current
194,194,2012-01-18,savings
195,195,2003-11-04,savings
196,196,1997-05-01,current
197,197,2023-11-14,current
198,198,2006-04-09,savings
199,199,2021-05-09,current
200,200,2009-06-24,current
201,201,2006-08-27,savings
202,202,2019-06-07,current
203,203,2022-09-26,savings
204,204,2014-08-14,current
205,205,2012-10-17,current
206,206,2021-07-16,current
207,207,1996-05-19,current
208,208,2009-07-07,current
209,209,2003-09-03,current
210,210,1997-03-22,current
211,211,2009-08-17,current
212,212,2012-07-26,savings
213,213,2017-09-11,savings
214,214,2013-05-10,savings
215,215,2007-02-28,savings
216,216,1998-07-12,current
217,217,2023-09-08,savings
218,218,2005-08-06,savings
219,219,2004-11-23,current
220,220,1995-02-14,current
221,221,2003-01-27,current
222,222,2014-04-01,current
223,223,2022-03-21,current
224,224,1995-06-26,savings
225,225,2009-10-27,current
226,226,2017-12-10,current
227,227,2012-03-28,current
228,228,2024-11-20,savings
229,229,2011-11-17,current
230,230,1995-06-12,current
231,231,2013-06-26,savings
232,232,2001-01-01,savings
233,233,2000-01-26,current
234,234,2002-01-17,savings
235,235,1996-06-17,savings
236,236,2005-02-19,current
237,237,2008-12-14,savings
238,238,2023-10-06,savings
239,239,2005-11-06,current
240,240,2012-07-09,savings
241,241,2024-02-05,savings
242,242,2011-09-07,current
243,243,2009-10-03,current
244,244,2013-10-28,savings
245,245,1999-03-13,savings
246,246,2014-06-08,savings
247,247,2022-06-04,savings
248,248,2003-07-02,savings
249,249,2003-08-26,current
250,250,2011-02-16,savings
251,251,1996-12-12,savings
252,252,1996-02-26,current
253,253,1996-01-28,current
254,254,1997-10-21,savings
255,255,2016-02-18,savings
256,256,2004-07-19,current
257,257,2017-01-02,savings
258,258,2018-07-27,current
259,259,2022-07-26,current
260,260,2021-05-12,current
261,261,2022-04-23,current
262,262,2011-05-06,savings
263,263,2019-04-21,current
264,264,2020-12-23,savings
265,265,1995-03-26,current
266,266,2003-12-04,savings
267,267,2000-06-21,savings
268,268,2019-12-16,current
269,269,2016-10-07,savings
270,270,2022-10-20,savings
271,271,2015-10-14,savings
272,272,2007-05-01,current
273,273,1998-10-04,savings
274,274,2012-10-10,savings
275,275,2004-06-25,current
276,276,2019-06-28,current
277,277,2013-08-08,savings
278,278,2002-05-24,current
279,279,2023-02-18,current
280,280,2013-07-20,current
281,281,2016-10-25,savings
282,282,2023-07-10,current
283,283,2024-09-02,current
284,284,2006-12-05,current
285,285,2008-09-02,savings
286,286,2008-11-21,current
287,287,2009-02-13,savings
288,288,2005-06-20,current
289,289,2001-02-07,savings
290,290,2021-06-02,current
291,291,2004-10-28,current
292,292,2015-09-19,savings
293,293,2013-07-10,savings
294,294,2023-02-10,current
295,295,2006-05-16,current
296,296,2013-11-04,current
297,297,1999-05-25,savings
298,298,2005-08-23,current
299,299,2019-02-23,current
300,300,1998-11-25,current
301,301,2011-02-02,savings
302,302,2020-03-04,current
303,303,1995-07-01,savings
304,304,2002-04-04,savings
305,305,2024-03-19,current
306,306,1998-02-13,savings
307,307,1995-11-10,savings
308,308,2024-07-01,current
309,309,2023-01-01,current
310,310,1996-06-15,current
311,311,2015-12-04,savings
312,312,2005-05-22,savings
313,313,2022-11-18,savings
314,314,2014-07-01,current
315,315,2003-09-04,savings
316,316,2000-08-14,current
317,317,1995-04-22,current
318,318,2020-08-02,savings
319,319,2015-10-07,savings
320,320,1996-03-26,savings
321,321,1995-03-26,current
322,322,2001-04-28,savings
323,323,2022-12-02,current
324,324,2001-10-08,savings
325,325,2019-01-21,current
326,326,2021-08-06,savings
327,327,2018-12-09,savings
328,328,2020-12-28,current
329,329,2008-10-07,savings
330,330,2008-02-28,savings
331,331,2019-09-24,current
332,332,2012-06-17,savings
333,333,1997-03-11,savings
334,334,2008-12-17,current
335,335,2011-02-18,savings
336,336,2008-01-09,savings
337,337,2013-06-14,current
338,338,2002-08-21,savings
339,339,2000-02-25,savings
340,340,2023-11-03,current
341,341,2011-12-19,savings
342,342,2000-11-03,savings
343,343,2017-06-28,savings
344,344,1995-06-19,current
345,345,2022-07-25,savings
346,346,2007-06-04,savings
347,347,2003-05-01,current
348,348,1996-07-07,current
349,349,2005-05-08,savings
350,350,1999-08-28,savings
351,351,1997-01-10,current
352,352,1997-01-28,current
353,353,2007-09-28,current
354,354,2001-05-24,savings
355,355,2003-03-13,current
356,356,2000-07-04,savings
357,357,2009-04-11,savings
358,358,2022-01-02,savings
359,359,1998-05-01,current
360,360,2005-04-08,current
361,361,2021-08-13,current
362,362,2005-01-17,current
363,363,2002-01-12,savings
364,364,2018-02-24,savings
365,365,2011-06-07,current
366,366,2004-04-05,savings
367,367,2014-08-12,current
368,368,2004-12-01,savings
369,369,1997-03-12,savings
370,370,2010-03-01,current
371,371,2000-02-24,savings
372,372,2014-09-04,savings
373,373,2013-09-15,savings
374,374,2012-10-27,current
375,375,2006-10-28,savings
376,376,2014-05-03,savings
377,377,2014-10-26,savings
378,378,2024-01-09,current
379,379,2014-10-13,savings
380,380,1997-11-06,current
381,381,2024-07-12,current
382,382,2005-06-26,savings
383,383,2022-02-06,savings
384,384,1998-07-06,savings
385,385,1996-09-07,savings
386,386,1997-04-23,savings
387,387,1999-03-25,savings
388,388,2004-07-22,current
389,389,2014-08-05,savings
390,390,2008-01-19,savings
391,391,1995-02-07,current
392,392,2018-07-17,savings
393,393,1998-07-19,savings
394,394,2010-02-08,current
395,395,2006-11-10,current
396,396,2018-05-18,savings
397,397,2009-02-15,current
398,398,2004-11-06,current
399,399,2020-12-11,current
400,400,2023-09-11,current
401,401,2017-02-23,savings
402,402,1999-08-20,current
403,403,1997-07-26,savings
404,404,2020-02-10,savings
405,405,1997-12-15,current
406,406,1996-12-22,savings
407,407,2014-06-11,current
408,408,1995-02-26,current
409,409,2023-07-01,current
410,410,2005-05-19,current
411,411,2011-09-20,savings
412,412,2022-08-13,savings
413,413,2014-07-24,current
414,414,2021-01-28,current
415,415,2010-01-22,savings
416,416,2003-10-13,savings
417,417,1995-05-02,current
418,418,2014-09-06,current
419,419,2006-10-23,current
420,420,2001-08-22,savings
421,421,1997-01-15,current
422,422,1999-12-06,current
423,423,2007-04-19,savings
424,424,2002-04-21,current
425,425,2012-03-02,current
426,426,2002-03-10,savings
427,427,1998-08-24,savings
428,428,2001-12-24,savings
429,429,2008-09-18,savings
430,430,2006-07-04,current
431,431,2014-06-20,savings
432,432,2007-05-01,savings
433,433,2015-10-24,current
434,434,2004-06-18,savings
435,435,1999-05-18,savings
436,436,1996-08-22,savings
437,437,2022-11-21,current
438,438,2021-05-08,savings
439,439,1998-01-15,current
440,440,2021-05-21,savings
441,441,2002-08-01,current
442,442,1996-01-20,current
443,443,2021-06-15,savings
444,444,2020-08-13,current
445,445,1995-03-23,savings
446,446,1997-03-18,savings
447,447,2014-04-09,current
448,448,2003-07-23,current
449,449,2010-01-20,current
450,450,2014-07-14,current
451,451,2004-11-03,current
452,452,2011-11-28,current
453,453,2014-06-01,current
454,454,2018-12-02,current
455,455,1996-04-28,savings
456,456,2008-02-14,savings
457,457,2011-03-15,current
458,458,2005-12-26,current
459,459,2017-08-16,savings
460,460,1995-05-28,current
461,461,2021-11-15,current
462,462,2000-11-06,current
463,463,2016-02-13,savings
464,464,1995-11-09,savings
465,465,2021-02-23,savings
466,466,2024-03-20,savings
467,467,1997-10-26,current
468,468,2013-08-05,current
469,469,2000-05-11,savings
470,470,2013-07-13,savings
471,471,2011-12-24,savings
472,472,2024-04-10,current
473,473,2021-04-21,savings
474,474,2008-05-11,savings
475,475,2024-02-15,current
476,476,2014-12-28,current
477,477,2018-10-16,savings
478,478,2016-02-22,savings
479,479,2011-11-09,current
480,480,1999-05-25,current
481,481,2015-08-26,savings
482,482,2015-09-14,current
483,483,2001-05-27,savings
484,484,1996-08-10,savings
485,485,2001-02-19,current
486,486,2018-08-28,savings
487,487,2006-02-25,current
488,488,2005-11-15,current
489,489,2013-11-25,savings
490,490,2023-01-06,current
491,491,2004-06-28,current
492,492,1995-05-15,savings
493,493,2017-12-13,savings
494,494,1995-07-14,current
495,495,1996-09-06,savings
496,496,2007-02-22,savings
497,497,2000-04-23,current
498,498,2008-12-18,current
499,499,2014-09-26,savings
500,500,2017-08-06,current
501,501,2024-10-01,savings
502,502,2020-07-11,savings
503,503,2020-10-15,savings
504,504,2003-10-26,savings
505,505,1999-01-21,current
506,506,2023-08-21,current
507,507,2014-04-16,current
508,508,2011-07-27,current
509,509,2019-12-22,current
510,510,1996-07-13,savings
511,511,2020-06-28,savings
512,512,2012-11-04,savings
513,513,1996-12-20,current
514,514,1996-10-14,savings
515,515,2023-07-08,current
516,516,2002-11-17,current
517,517,2018-01-12,savings
518,518,2007-02-27,savings
519,519,2005-11-23,current
520,520,2002-12-15,current
521,521,2010-08-13,savings
522,522,2009-02-28,current
523,523,2008-10-25,savings
524,524,2008-03-08,savings
525,525,1997-03-22,current
526,526,2021-06-05,savings
527,527,2011-01-02,current
528,528,2011-09-18,current
529,529,2013-03-22,savings
530,530,2005-11-13,savings
531,531,2002-08-12,current
532,532,2008-04-21,savings
533,533,1997-11-16,current
534,534,1997-01-26,current
535,535,1995-12-19,savings
536,536,2022-09-25,savings
537,537,2007-11-17,savings
538,538,2002-10-21,savings
539,539,2018-01-02,savings
540,540,2024-11-10,savings
541,541,2019-09-11,current
542,542,1998-06-11,current
543,543,2004-01-13,current
544,544,2015-04-25,savings
545,545,2014-05-07,savings
546,546,2008-09-12,savings
547,547,2005-07-26,current
548,548,2001-01-22,savings
549,549,1998-09-07,savings
550,550,2022-12-25,savings
551,551,2019-08-25,current
552,552,2004-11-17,current
553,553,1995-04-15,current
554,554,2017-12-18,savings
555,555,2008-04-21,savings
556,556,1999-05-28,current
557,557,2019-08-20,current
558,558,2014-09-22,current
559,559,2007-04-03,savings
560,560,2005-11-15,savings
561,561,2015-09-11,current
562,562,1998-10-05,current
563,563,2017-05-22,savings
564,564,2004-12-15,current
565,565,2014-10-02,current
566,566,1997-09-10,current
567,567,2015-01-01,current
568,568,2016-11-12,savings
569,569,2008-10-05,savings
570,570,2020-12-02,savings
571,571,2006-12-09,current
572,572,2007-03-07,current
573,573,2005-10-15,savings
574,574,2003-11-20,current
575,575,2009-08-26,savings
576,576,2015-01-22,current
577,577,2006-11-26,current
578,578,2008-03-13,current
579,579,2024-07-28,savings
580,580,2016-03-07,savings
581,581,2002-11-24,current
582,582,1998-12-06,current
583,583,2016-01-21,savings
584,584,2017-07-17,savings
585,585,2005-07-24,savings
586,586,2019-10-20,current
587,587,2020-02-22,savings
588,588,2015-07-19,current
589,589,2016-08-22,savings
590,590,2002-07-02,current
591,591,2021-05-16,savings
592,592,2010-07-15,savings
593,593,2005-02-02,savings
594,594,2005-03-27,savings
595,595,2013-05-14,savings
596,596,1998-01-25,savings
597,597,1999-11-24,savings
598,598,2000-07-10,current
599,599,2003-11-21,current
600,600,2000-06-05,current
601,601,2016-07-15,savings
602,602,2022-12-15,current
603,603,1996-11-13,current
604,604,2001-12-07,current
605,605,2006-02-23,savings
606,606,2004-04-20,savings
607,607,2019-03-13,savings
608,608,2011-04-12,savings
609,609,2011-06-10,savings
610,610,2001-09-06,current
611,611,2012-11-07,current
612,612,2003-04-20,savings
613,613,2015-12-19,current
614,614,2023-10-24,current
615,615,2011-12-24,current
616,616,2008-01-01,current
617,617,2022-07-19,savings
618,618,2020-09-11,savings
619,619,2004-07-15,current
620,620,2006-10-12,savings
621,621,2005-11-15,current
622,622,2021-06-05,savings
623,623,1997-06-19,current
624,624,2014-10-18,savings
625,625,1997-08-01,current
626,626,1999-11-09,savings
627,627,2004-08-07,current
628,628,2012-12-08,current
629,629,2006-01-24,current
630,630,2014-09-06,current
631,631,2007-01-01,current
632,632,2018-09-16,savings
633,633,2022-02-03,savings
634,634,2019-04-06,current
635,635,1997-07-22,current
636,636,1996-07-23,savings
637,637,2023-05-22,current
638,638,2017-04-10,savings
639,639,2011-04-08,current
640,640,2010-08-07,savings
641,641,2003-03-20,current
642,642,2000-09-06,current
643,643,1999-08-22,current
644,644,2013-08-22,current
645,645,1998-05-19,current
646,646,2010-08-09,current
647,647,2009-08-17,savings
648,648,2007-09-18,current
649,649,2008-12-23,savings
650,650,2011-08-08,current
651,651,2013-12-09,savings
652,652,2023-05-14,current
653,653,2008-09-12,savings
654,654,2018-05-03,savings
655,655,2014-08-09,current
656,656,2003-04-18,current
657,657,1995-09-24,current
658,658,2018-12-07,current
659,659,2010-11-09,savings
660,660,2015-06-05,current
661,661,2008-04-23,current
662,662,2002-09-04,savings
663,663,2012-09-25,current
664,664,1995-01-25,current
665,665,2007-06-14,savings
666,666,2018-08-12,current
667,667,2021-07-12,current
668,668,2017-08-07,savings
669,669,1996-08-26,current
670,670,1999-03-08,current
671,671,2023-05-03,current
672,672,1995-11-11,savings
673,673,2000-06-23,current
674,674,2003-12-22,savings
675,675,2015-05-02,savings
676,676,1997-02-03,current
677,677,1997-01-02,savings
678,678,2018-04-08,current
679,679,2013-09-14,current
680,680,2024-03-11,current
681,681,2016-12-01,savings
682,682,2018-04-12,current
683,683,2014-12-25,savings
684,684,2007-11-05,savings
685,685,2015-02-03,savings
686,686,2020-06-23,current
687,687,2001-11-03,savings
688,688,1995-08-08,savings
689,689,1998-10-03,savings
690,690,2009-12-15,savings
691,691,2003-10-07,savings
692,692,2002-01-23,savings
693,693,2020-09-02,current
694,694,2012-12-25,savings
695,695,2017-06-16,current
696,696,2023-01-04,current
697,697,1999-08-22,current
698,698,2013-03-16,savings
699,699,2004-07-27,current
700,700,2012-02-25,current
701,701,1995-10-19,savings
702,702,2015-05-15,savings
703,703,2018-10-15,current
704,704,1996-02-12,current
705,705,2018-07-20,current
706,706,2006-05-04,savings
707,707,2002-11-16,savings
708,708,2008-09-04,savings
709,709,2000-01-27,current
710,710,2015-06-03,savings
711,711,2024-11-27,savings
712,712,2015-10-07,savings
713,713,2009-07-10,current
714,714,2007-04-16,savings
715,715,2019-07-26,current
716,716,2014-06-14,current
717,717,2020-01-23,savings
718,718,2014-12-25,savings
719,719,1996-01-22,savings
720,720,2003-10-15,current
721,721,2012-05-07,current
722,722,2024-01-18,current
723,723,2020-10-28,current
724,724,2014-07-15,savings
725,725,2023-05-13,savings
726,726,2017-05-07,current
727,727,2007-01-10,current
728,728,2002-07-09,current
729,729,1996-11-08,current
730,730,2003-06-15,savings
731,731,2018-03-21,savings
732,732,1999-02-03,savings
733,733,2006-02-03,savings
734,734,2012-12-23,current
735,735,1999-03-23,current
736,736,2017-12-14,savings
737,737,2009-11-27,savings
738,738,2007-09-09,savings
739,739,2020-07-22,savings
740,740,2002-11-24,savings
741,741,2007-10-25,savings
742,742,2014-12-15,current
743,743,2002-05-11,current
744,744,2006-07-09,savings
745,745,2008-06-10,savings
746,746,2019-12-10,current
747,747,2013-08-05,current
748,748,1999-08-23,savings
749,749,2010-09-14,current
750,750,2002-07-28,current
751,751,2010-04-01,current
752,752,2019-04-26,current
753,753,1996-11-08,current
754,754,2021-01-07,current
755,755,2015-06-19,current
756,756,1998-12-24,current
757,757,2003-11-13,current
758,758,1995-07-14,current
759,759,2006-06-01,savings
760,760,2018-09-05,savings
761,761,2007-09-03,current
762,762,2004-07-18,savings
763,763,2008-12-07,savings
764,764,2006-04-02,current
765,765,2020-10-11,savings
766,766,2013-06-04,current
767,767,2011-04-11,savings
768,768,2009-04-08,savings
769,769,2011-12-22,savings
770,770,2024-01-17,current
771,771,2002-09-12,savings
772,772,2001-04-15,current
773,773,2019-01-26,savings
774,774,2011-12-16,savings
775,775,2011-07-22,current
776,776,2002-12-23,savings
777,777,2008-05-19,current
778,778,2015-03-01,current
779,779,2014-06-26,current
780,780,2010-03-14,current
781,781,2005-02-21,savings
782,782,1995-08-09,current
783,783,2005-06-15,current
784,784,2020-04-07,current
785,785,,savings
786,786,1998-02-17,savings
787,787,2011-12-28,current
788,788,2002-04-04,savings
789,789,1999-02-17,savings
790,790,2011-12-15,current
791,791,2004-09-11,current
792,792,1998-06-02,savings
793,793,1996-05-19,savings
794,794,1995-04-27,savings
795,795,2022-03-22,savings
796,796,2024-02-09,current
797,797,2018-09-01,savings
798,798,1998-02-18,savings
799,799,2014-02-28,savings
800,800,2002-01-17,current
801,801,1996-04-18,savings
802,802,2016-07-16,current
803,803,2020-12-21,current
804,804,2003-02-04,current
805,805,2024-01-16,savings
806,806,2014-06-06,savings
807,807,1995-05-28,current
808,808,2007-07-02,savings
809,809,2019-12-21,current
810,810,2012-12-23,current
811,811,2009-03-13,savings
812,812,2005-07-17,current
813,813,2002-01-05,current
814,814,2003-11-11,savings
815,815,2000-02-02,current
816,816,2013-05-16,savings
817,817,2009-01-21,savings
818,818,2019-02-26,current
819,819,1995-02-22,current
820,820,2007-06-22,savings
821,821,2017-12-26,current
822,822,2017-10-10,savings
823,823,2018-03-03,current
824,824,2012-01-01,savings
825,825,2015-10-18,current
826,826,1995-08-17,savings
827,827,2015-08-05,current
828,828,2005-02-18,current
829,829,2008-12-24,savings
830,830,2018-09-13,savings
831,831,2017-02-09,current
832,832,2010-10-11,current
833,833,2018-06-15,current
834,834,2020-09-02,current
835,835,2012-12-25,savings
836,836,2015-04-26,current
837,837,2008-04-23,current
838,838,2010-03-14,savings
839,839,2009-06-26,current
840,840,2013-02-05,savings
841,841,2022-08-01,current
842,842,2018-04-23,savings
843,843,2010-07-28,savings
844,844,2015-03-13,current
845,845,2005-10-03,savings
846,846,2009-06-07,current
847,847,2023-10-16,savings
848,848,2003-06-19,savings
849,849,2010-04-12,savings
850,850,2024-11-09,current
851,851,2013-08-26,current
852,852,2012-05-19,savings
853,853,2019-09-20,current
854,854,2009-08-10,savings
855,855,2005-10-10,savings
856,856,2024-07-13,current
857,857,2004-06-05,savings
858,858,2018-07-23,current
859,859,2011-05-09,savings
860,860,1995-08-04,current
861,861,1998-04-14,savings
862,862,2020-11-16,savings
863,863,2013-12-22,savings
864,864,2017-01-04,savings
865,865,2020-04-18,savings
866,866,2017-09-25,current
867,867,2022-03-07,current
868,868,2011-09-11,savings
869,869,2004-02-10,savings
870,870,2019-04-25,current
871,871,2006-11-04,current
872,872,1999-03-20,savings
873,873,2024-10-02,savings
874,874,2017-02-01,savings
875,875,2012-06-12,savings
876,876,2003-10-10,savings
877,877,2006-03-07,savings
878,878,2015-01-18,current
879,879,2004-01-12,savings
880,880,2003-03-16,savings
881,881,2006-06-03,current
882,882,2024-09-17,current
883,883,2002-11-20,current
884,884,2013-07-02,savings
885,885,2015-01-27,current
886,886,2015-10-28,savings
887,887,2017-03-24,current
888,888,2012-08-17,current
889,889,2017-06-20,current
890,890,2022-06-27,savings
891,891,2014-05-07,current
892,892,2006-11-19,current
893,893,2024-09-10,current
894,894,1997-09-06,savings
895,895,2019-10-21,savings
896,896,2009-08-23,savings
897,897,2016-07-20,savings
898,898,2007-04-10,savings
899,899,2000-04-28,current
900,900,2000-06-12,current
901,901,2022-05-15,savings
902,902,2014-01-17,current
903,903,2011-04-17,current
904,904,2005-08-20,savings
905,905,2010-08-22,savings
906,906,1999-09-17,savings
907,907,2023-12-06,current
908,908,2004-10-22,savings
909,909,1995-06-13,savings
910,910,2017-02-03,savings
911,911,2010-10-19,current
912,912,2010-12-26,current
913,913,2014-07-22,current
914,914,2013-04-06,savings
915,915,2019-01-16,current
916,916,2019-08-28,savings
917,917,2010-09-25,savings
918,918,2008-02-10,current
919,919,1997-08-19,savings
920,920,2005-03-27,current
921,921,1997-07-02,savings
922,922,2023-11-18,savings
923,923,1996-04-03,current
924,924,2010-03-27,savings
925,925,1999-02-24,current
926,926,2003-09-11,current
927,927,1998-12-07,savings
928,928,1999-06-03,savings
929,929,2010-05-19,savings
930,930,2024-09-04,savings
931,931,2010-10-03,savings
932,932,2023-11-24,savings
933,933,2021-01-28,savings
934,934,1995-11-08,savings
935,935,1997-04-22,savings
936,936,2012-04-24,savings
937,937,1995-06-24,savings
938,938,2015-11-22,current
939,939,2003-10-28,savings
940,940,2013-08-24,savings
941,941,2006-08-06,savings
942,942,1997-11-18,current
943,943,2012-07-13,savings
944,944,2024-01-24,current
945,945,2007-04-13,current
946,946,2002-06-07,savings
947,947,2002-09-21,savings
948,948,2023-04-10,savings
949,949,2002-07-03,current
950,950,1995-10-17,current
951,951,2021-06-25,current
952,952,2013-01-16,savings
953,953,2004-12-26,savings
954,954,2017-04-21,current
955,955,2001-08-09,current
956,956,2007-09-15,current
957,957,2016-06-02,current
958,958,2020-04-03,savings
959,959,2003-03-17,savings
960,960,2022-10-21,current
961,961,2015-05-04,savings
962,962,2021-05-06,current
963,963,1998-02-14,current
964,964,2016-12-17,savings
965,965,2005-01-18,savings
966,966,2010-09-11,savings
967,967,1996-01-22,current
968,968,2020-10-22,current
969,969,1997-10-02,savings
970,970,2020-05-08,savings
971,971,2010-03-18,savings
972,972,2016-03-26,current
973,973,2008-06-01,current
974,974,1997-03-13,savings
975,975,2019-07-15,savings
976,976,2014-07-03,current
977,977,2009-03-12,savings
978,978,2012-07-21,current
979,979,2006-05-20,savings
980,980,2017-07-21,current
981,981,2001-01-04,current
982,982,1995-07-15,savings
983,983,2000-07-18,savings
984,984,2007-03-13,current
985,985,2011-02-16,savings
986,986,2023-12-16,savings
987,987,2011-09-09,savings
988,988,2013-03-09,current
989,989,2016-06-03,current
990,990,2018-04-05,current
991,991,2011-01-08,savings
992,992,2014-10-15,current
993,993,2001-03-24,savings
994,994,2001-08-11,savings
995,995,1996-06-02,current
996,996,2007-04-15,current
997,997,2002-11-01,current
998,998,2018-04-19,savings
999,999,2009-07-23,savings
1000,1000,2013-01-06,current
1001,1001,2002-06-27,savings
1002,1002,2000-07-14,current
1003,1003,2002-03-21,current
1004,1004,2022-12-28,current
1005,1005,2024-04-03,savings
1006,1006,2019-11-10,current
1007,1007,1998-10-05,current
1008,1008,2005-04-13,current
1009,1009,2005-08-19,current
1010,1010,2007-04-11,savings
1011,1011,2006-09-13,savings
1012,1012,2007-02-03,savings
1013,1013,2001-02-15,savings
1014,1014,2012-01-05,savings
1015,1015,1998-08-10,savings
1016,1016,2009-12-11,savings
1017,1017,2002-04-03,current
1018,1018,2013-04-15,current
1019,1019,2022-05-27,savings
1020,1020,2024-10-10,current
1021,1021,2014-04-03,savings
1022,1022,2015-04-05,savings
1023,1023,2023-12-10,current
1024,1024,2003-08-13,current
1025,1025,2007-10-21,current
1026,1026,2010-10-10,current
1027,1027,2012-05-01,savings
1028,1028,1999-09-07,current
1029,1029,2006-07-27,savings
1030,1030,2022-10-15,savings
