transaction_id;account_id;customer_id;branch_id;transaction_date;currency_code;amount_original;amount_eur
1001077;2659;2659;46;2025-02-04;DKK;6991,53;998,79
1001097;1097;1097;64;2025-02-05;PLN;6111,44;1527,86
1001136;4286;4286;97;2025-01-02;JPY;6027,44;37,82
1001183;940;940;67;2025-03-08;NOK;1044,46;87,04
1001232;2125;2125;30;2025-03-01;CZK;400,16;16,01
1001236;2303;2303;86;2025-03-09;PLN;2621,17;655,29
1001245;169;169;25;2025-02-03;CHF;6107,49;6420,83
1001259;2675;2675;66;2025-02-23;PLN;9073,74;2268,44
1001267;4951;4951;51;2025-03-10;JPY;5862,57;36,78
1001269;1989;1989;5;2025-01-31;DKK;3286,69;469,53
1001273;4193;4193;78;2025-01-22;DKK;693,48;99,07
1001285;1860;1860;26;2025-02-15;CHF;2268,85;2385,25
1001301;4678;4678;24;2025-02-23;AUD;3531,93;1765,97
1001323;3330;3330;86;2025-02-19;DKK;409,08;58,44
1001329;613;613;69;2025-03-10;TRY;7776,22;194,41
1001382;1218;1218;13;2025-03-02;SEK;850,81;77,35
1001387;2363;2363;32;2025-02-10;SEK;7090,86;644,62
1001407;582;582;99;2025-03-04;AUD;1337,29;668,65
1001410;4807;4807;33;2025-01-22;DKK;5832,96;833,28
1001413;1132;1132;29;2025-01-31;PLN;1831,08;457,77
1001424;1899;1899;73;2025-03-06;DKK;8613,00;1230,43
1001441;1079;1079;90;2025-03-04;PLN;9703,50;2425,88
1001464;3115;3115;32;2025-02-11;BGN;9783,92;4891,96
1001467;4349;4349;55;2025-02-20;NOK;5981,93;498,49
1001476;2810;2810;12;2025-01-26;GBP;8484,03;10118,22
1001489;3201;3201;40;2025-02-05;CHF;5657,35;5947,59
1001493;248;248;39;2025-01-29;ISK;1204,03;8,2
1001522;4522;4522;87;2025-01-15;SEK;9281,47;843,77
1001530;2220;2220;36;2025-01-12;TRY;5306,26;132,66
1001561;1000;1000;14;2025-01-08;CZK;3015,04;120,6
1001573;286;286;3;2025-02-06;CHF;6876,82;7229,63
1001575;2318;2318;29;2025-02-03;AUD;507,18;253,59
1001584;1135;1135;60;2025-03-04;CZK;6623,87;264,95
1001622;2509;2509;31;2025-01-20;TRY;1390,76;34,77
1001627;1532;1532;73;2025-02-03;TRY;6053,99;151,35
1001633;1539;1539;14;2025-02-09;PLN;1502,80;375,7
1001655;120;120;69;2025-02-03;TRY;223,16;5,58
1001658;2586;2586;86;2025-02-25;JPY;2900,27;18,2
1001670;1699;1699;59;2025-01-04;CZK;9551,29;382,05
1001686;4007;4007;77;2025-03-07;RON;5849,13;1169,83
1001687;1216;1216;85;2025-01-11;RON;4441,30;888,26
1001697;1730;1730;82;2025-01-07;JPY;4339,30;27,22
1001750;3110;3110;81;2025-01-01;BGN;7868,17;3934,09
1001771;3673;3673;23;2025-02-10;GBP;3541,33;4223,46
1001793;2051;2051;56;2025-01-29;CZK;4946,83;197,87
1001820;3207;3207;39;2025-01-28;PLN;7098,79;1774,7
1001847;2692;2692;37;2025-01-02;HUF;5212,83;13,05
1001855;4700;4700;27;2025-03-09;GBP;963,48;1149,07
1001857;241;241;65;2025-03-09;CZK;8512,91;340,52
1001865;1424;1424;65;2025-02-03;JPY;2185,86;13,71
1001867;4354;4354;67;2025-02-25;RON;575,30;115,06
1001868;4032;4032;13;2025-01-11;ISK;5551,04;37,79
1001872;1964;1964;3;2025-01-24;TRY;4291,80;107,3
1001874;3477;3477;69;2025-02-23;GBP;9458,72;11280,66
1001883;3716;3716;50;2025-02-15;CZK;1028,78;41,15
1001901;26;26;20;2025-02-08;RON;3020,21;604,04
1001905;2200;2200;99;2025-02-27;TRY;2556,50;63,91
1001916;3186;3186;76;2025-01-22;SEK;8900,37;809,12
1001920;698;698;94;2025-01-21;TRY;9566,76;239,17
1001941;4336;4336;89;2025-02-08;GBP;4700,44;5605,84
1001954;4323;4323;66;2025-02-25;ISK;5440,33;37,03
1001956;3517;3517;50;2025-01-28;TRY;9732,65;243,32
1001989;39;39;59;2025-03-07;AUD;5501,43;2750,72
1002004;103;103;84;2025-01-31;GBP;6330,07;7549,37
1002051;1219;1219;22;2025-01-13;RON;9075,57;1815,11
1002086;3835;3835;31;2025-02-09;TRY;4018,32;100,46
1002095;4020;4020;42;2025-02-23;AUD;6603,68;3301,84
1002099;3243;3243;42;2025-02-01;PLN;5059,70;1264,93
1002102;3555;3555;92;2025-03-07;DKK;3747,66;535,38
1002131;2294;2294;52;2025-01-28;NOK;5180,25;431,69
1002181;3444;3444;57;2025-01-04;JPY;9242,47;57,99
1002264;4133;4133;78;2025-01-30;PLN;8426,41;2106,6
1002271;4169;4169;79;2025-01-31;ISK;7833,55;53,33
1002276;4630;4630;65;2025-02-24;AUD;9503,54;4751,77
1002296;4374;4374;12;2025-02-07;DKK;9317,07;1331,01
1002301;4282;4282;82;2025-02-14;CZK;821,52;32,86
1002328;3082;3082;71;2025-01-21;SEK;3284,15;298,56
1002335;2408;2408;10;2025-02-23;GBP;9086,28;10836,48
1002352;1919;1919;63;2025-01-11;RON;6822,31;1364,46
1002394;3204;3204;48;2025-01-01;GBP;2866,71;3418,9
1002400;2874;2874;94;2025-03-01;AUD;1175,53;587,77
1002415;1957;1957;94;2025-01-11;RON;8762,97;1752,59
1002417;3299;3299;99;2025-03-08;BGN;365,45;182,73
1002439;4315;4315;87;2025-03-09;PLN;5636,64;1409,16
1002458;4771;4771;86;2025-02-26;HUF;3320,28;8,31
1002496;3913;3913;54;2025-03-06;HUF;9631,25;24,11
1002523;369;369;10;2025-01-20;HUF;5829,81;14,59
1002537;1355;1355;19;2025-02-23;BGN;1174,93;587,47
1002539;3565;3565;26;2025-02-09;CHF;2443,51;2568,87
1002594;3344;3344;23;2025-03-06;JPY;3533,72;22,17
1002637;535;535;65;2025-02-20;ISK;7970,57;54,26
1002646;2373;2373;75;2025-01-19;PLN;5075,71;1268,93
1002655;3466;3466;89;2025-01-18;PLN;9712,54;2428,14
1002657;3305;3305;94;2025-02-26;GBP;2028,03;2418,67
1002672;3676;3676;26;2025-02-13;JPY;2197,16;13,78
1002704;1707;1707;46;2025-02-25;AUD;5641,19;2820,6
1002714;2511;2511;93;2025-01-15;CHF;7007,31;7366,81
1002748;740;740;50;2025-01-09;HUF;4853,30;12,15
1002839;4651;4651;60;2025-02-05;DKK;8423,28;1203,33
1002841;3909;3909;32;2025-01-30;TRY;9211,81;230,3
1002847;2153;2153;68;2025-01-08;AUD;7160,11;3580,06
1002854;4210;4210;39;2025-03-09;JPY;2190,43;13,74
1002861;1903;1903;77;2025-02-23;RON;8675,82;1735,16
1002879;3412;3412;98;2025-01-03;ISK;7976,45;54,3
1002886;1144;1144;21;2025-01-30;NOK;1063,11;88,59
1002895;3136;3136;21;2025-02-24;ISK;874,80;5,96
1002901;2022;2022;38;2025-01-14;CZK;5714,52;228,58
1002923;171;171;18;2025-02-13;HUF;9282,35;23,24
1002942;2323;2323;27;2025-03-10;ISK;9158,43;62,34
1002960;4207;4207;66;2025-01-07;CHF;8625,91;9068,45
1002966;2898;2898;83;2025-01-28;PLN;3806,84;951,71
1002970;1928;1928;62;2025-01-25;JPY;7547,99;47,36
1002981;4752;4752;28;2025-02-02;GBP;3833,11;4571,44
1002986;1602;1602;9;2025-03-04;NOK;2882,82;240,24
1003012;1210;1210;48;2025-03-05;SEK;8971,05;815,55
1003033;4517;4517;54;2025-02-19;GBP;337,55;402,57
1003049;904;904;71;2025-01-23;CHF;3914,44;4115,26
1003098;4162;4162;86;2025-02-07;HUF;7778,23;19,47
1003119;3146;3146;77;2025-02-18;CHF;3614,17;3799,59
1003146;1007;1007;53;2025-02-08;BGN;8231,19;4115,6
1003165;3989;3989;4;2025-02-04;PLN;2538,31;634,58
1003242;3366;3366;48;2025-03-08;PLN;5326,75;1331,69
1003249;4100;4100;76;2025-01-19;JPY;5631,68;35,33
1003258;797;797;86;2025-01-06;SEK;682,13;62,01
1003262;1482;1482;91;2025-02-11;CZK;2813,60;112,54
1003268;732;732;5;2025-02-22;NOK;2452,50;204,38
1003315;287;287;72;2025-01-30;CZK;3282,94;131,32
1003319;4808;4808;87;2025-01-04;GBP;6319,29;7536,51
1003385;4251;4251;72;2025-01-04;TRY;9238,29;230,96
1003389;3998;3998;70;2025-02-14;SEK;6591,59;599,24
1003405;4165;4165;84;2025-02-01;GBP;9443,84;11262,91
1003423;83;83;72;2025-01-13;JPY;7197,95;45,16
1003436;3705;3705;29;2025-01-15;DKK;1661,73;237,39
1003469;669;669;29;2025-01-17;CZK;45,10;1,8
1003505;3827;3827;25;2025-03-09;TRY;3310,39;82,76
1003521;4495;4495;83;2025-02-18;GBP;6588,06;7857,05
1003539;3180;3180;15;2025-03-09;DKK;7236,12;1033,73
1003550;4691;4691;34;2025-01-03;ISK;4011,49;27,31
1003557;4195;4195;58;2025-01-11;DKK;7536,37;1076,62
1003569;1823;1823;50;2025-01-26;CZK;6350,92;254,04
1003573;3413;3413;5;2025-03-06;TRY;2589,80;64,75
1003584;632;632;47;2025-01-26;GBP;100,27;119,58
1003590;4154;4154;30;2025-02-27;HUF;1268,62;3,18
1003592;3314;3314;95;2025-01-01;PLN;1808,60;452,15
1003609;520;520;17;2025-01-15;AUD;9849,90;4924,95
1003616;4243;4243;13;2025-02-11;RON;8724,02;1744,8
1003646;2464;2464;11;2025-01-20;CHF;3834,48;4031,2
1003707;3508;3508;65;2025-01-14;ISK;7698,48;52,41
1003716;1083;1083;97;2025-03-09;DKK;9989,03;1427,0
1003744;4954;4954;5;2025-01-28;GBP;3531,05;4211,2
1003758;1040;1040;24;2025-01-01;DKK;3510,24;501,46
1003786;2980;2980;88;2025-02-11;AUD;89,57;44,79
1003791;2792;2792;45;2025-01-12;ISK;1753,02;11,93
1003799;2586;2586;86;2025-01-06;GBP;5540,40;6607,59
1003803;4663;4663;88;2025-02-07;JPY;7738,03;48,55
1003804;3127;3127;19;2025-01-11;GBP;9173,23;10940,18
1003807;3924;3924;73;2025-01-20;BGN;1674,54;837,27
1003820;3223;3223;81;2025-01-29;CZK;66,04;2,64
1003827;3027;3027;53;2025-01-04;TRY;9583,18;239,58
1003858;4486;4486;23;2025-02-02;BGN;2349,46;1174,73
1003862;517;517;50;2025-02-08;NOK;2840,08;236,67
1003908;1735;1735;33;2025-02-26;JPY;5661,80;35,52
1003930;3327;3327;29;2025-01-27;HUF;1262,29;3,16
1003935;1036;1036;9;2025-02-21;BGN;9075,54;4537,77
1003952;4595;4595;45;2025-02-12;PLN;6596,82;1649,21
1003968;4034;4034;2;2025-03-08;NOK;7496,64;624,72
1003980;2754;2754;46;2025-02-09;AUD;776,07;388,04
1003989;3166;3166;17;2025-01-01;JPY;4613,09;28,94
1003990;644;644;24;2025-02-13;AUD;2783,56;1391,78
1004004;3104;3104;78;2025-01-24;SEK;4184,13;380,38
1004007;1523;1523;46;2025-02-12;RON;1160,31;232,06
1004025;4601;4601;93;2025-02-05;SEK;2343,62;213,06
1004081;904;904;71;2025-01-09;DKK;9203,32;1314,76
1004097;663;663;41;2025-02-08;JPY;2294,43;14,4
1004114;3985;3985;61;2025-02-03;PLN;1819,73;454,93
1004126;1920;1920;88;2025-03-08;JPY;3568,87;22,39
1004136;3442;3442;12;2025-02-25;DKK;4222,30;603,19
1004142;2694;2694;55;2025-03-03;TRY;349,10;8,73
1004149;2691;2691;90;2025-01-20;ISK;7103,18;48,35
1004182;706;706;96;2025-02-07;RON;504,97;100,99
1004194;1484;1484;16;2025-02-15;GBP;4414,24;5264,51
1004203;4205;4205;26;2025-01-08;SEK;8009,78;728,16
1004210;3880;3880;33;2025-01-25;BGN;5236,78;2618,39
1004245;2100;2100;74;2025-02-18;DKK;9716,44;1388,06
1004278;798;798;22;2025-02-08;CZK;4785,40;191,42
1004285;2722;2722;46;2025-01-06;RON;8010,93;1602,19
1004298;2502;2502;15;2025-02-17;TRY;6586,92;164,67
1004305;3578;3578;53;2025-02-10;AUD;4171,62;2085,81
1004342;4537;4537;43;2025-01-30;CHF;3014,51;3169,17
1004398;3607;3607;55;2025-01-12;AUD;8969,26;4484,63
1004410;2269;2269;66;2025-01-21;BGN;3553,60;1776,8
1004417;1018;1018;82;2025-02-06;SEK;9231,90;839,26
1004422;2032;2032;56;2025-02-10;ISK;4856,44;33,06
1004434;879;879;99;2025-01-17;SEK;2703,12;245,74
1004436;2081;2081;46;2025-01-31;SEK;5046,16;458,74
1004458;4329;4329;82;2025-03-10;CZK;5254,66;210,19
1004459;531;531;97;2025-02-02;BGN;3862,59;1931,3
1004469;2619;2619;41;2025-01-10;ISK;6163,78;41,96
1004480;2996;2996;98;2025-01-27;RON;5869,42;1173,88
1004488;4160;4160;17;2025-03-08;TRY;7573,59;189,34
1004490;3182;3182;89;2025-01-29;GBP;2323,07;2770,54
1004512;1504;1504;10;2025-02-05;BGN;5872,02;2936,01
1004528;2292;2292;57;2025-01-30;AUD;3179,72;1589,86
1004534;4925;4925;20;2025-01-03;TRY;6655,19;166,38
1004540;2622;2622;75;2025-01-21;CHF;9723,73;10222,59
1004541;4771;4771;86;2025-02-02;CHF;1957,09;2057,5
1004564;3364;3364;5;2025-01-19;TRY;8780,42;219,51
1004569;1409;1409;35;2025-02-26;ISK;1185,13;8,07
1004573;1379;1379;76;2025-01-04;SEK;3426,60;311,51
1004577;868;868;75;2025-01-17;GBP;5217,95;6223,03
1004589;671;671;95;2025-02-08;GBP;1539,77;1836,36
1004594;4741;4741;64;2025-03-01;AUD;3460,92;1730,46
1004612;1964;1964;3;2025-01-14;JPY;1079,33;6,77
1004617;119;119;31;2025-01-01;PLN;4878,67;1219,67
1004650;3765;3765;59;2025-02-03;GBP;6160,27;7346,86
1004660;521;521;86;2025-02-26;BGN;4514,71;2257,36
1004674;3340;3340;13;2025-02-21;PLN;5699,40;1424,85
1004686;2305;2305;67;2025-01-16;CZK;5897,01;235,88
1004708;736;736;43;2025-02-09;TRY;3148,90;78,72
1004731;2754;2754;46;2025-01-20;DKK;9320,21;1331,46
1004770;2243;2243;58;2025-01-23;HUF;3013,94;7,55
1004784;671;671;95;2025-03-01;HUF;5939,07;14,87
1004792;4044;4044;14;2025-02-01;SEK;3024,76;274,98
1004806;4636;4636;16;2025-02-16;ISK;7744,46;52,72
1004809;4791;4791;11;2025-01-29;SEK;1221,51;111,05
1004822;2446;2446;51;2025-02-04;CHF;9536,52;10025,78
1004864;3448;3448;62;2025-02-11;NOK;5158,72;429,89
1004872;102;102;54;2025-02-17;BGN;3677,97;1838,99
1004886;986;986;20;2025-01-22;CZK;9201,04;368,04
1004899;2204;2204;17;2025-02-20;DKK;3117,76;445,39
1004900;534;534;93;2025-01-06;TRY;2192,53;54,81
1004923;1043;1043;23;2025-02-22;GBP;1065,13;1270,3
1004956;755;755;7;2025-02-05;SEK;2153,71;195,79
1004970;1302;1302;15;2025-01-23;HUF;9070,43;22,71
1004981;4766;4766;52;2025-01-27;DKK;4937,21;705,32
1005039;2361;2361;65;2025-02-09;CZK;8924,74;356,99
1005048;2671;2671;71;2025-01-23;CHF;542,22;570,04
1005051;2352;2352;62;2025-02-13;HUF;7982,47;19,98
1005064;4363;4363;53;2025-01-10;CZK;1500,40;60,02
1005065;1114;1114;66;2025-01-06;CHF;6387,65;6715,36
1005090;3527;3527;24;2025-01-14;NOK;8681,00;723,42
1005107;3490;3490;9;2025-03-03;JPY;6088,06;38,2
1005124;3761;3761;64;2025-01-28;DKK;8429,65;1204,24
1005125;1971;1971;20;2025-03-03;TRY;9663,51;241,59
1005149;1782;1782;27;2025-02-15;TRY;6027,23;150,68
1005164;4372;4372;49;2025-02-17;RON;605,47;121,09
1005186;3310;3310;21;2025-02-25;SEK;9599,35;872,67
1005191;2878;2878;97;2025-03-07;PLN;9076,00;2269,0
1005193;3367;3367;32;2025-03-01;SEK;4183,41;380,31
1005216;1526;1526;30;2025-03-06;CHF;6406,89;6735,59
1005243;1869;1869;82;2025-01-25;JPY;8697,98;54,57
1005252;4219;4219;49;2025-02-13;ISK;6748,13;45,94
1005255;2836;2836;54;2025-01-05;CZK;7952,18;318,09
1005266;4023;4023;43;2025-02-10;CZK;2055,17;82,21
1005268;754;754;84;2025-01-29;RON;5832,68;1166,54
1005276;1256;1256;62;2025-01-12;GBP;8753,91;10440,09
1005310;1189;1189;73;2025-01-14;ISK;1963,99;13,37
1005313;3591;3591;78;2025-02-28;RON;546,09;109,22
1005341;97;97;18;2025-02-16;JPY;5087,86;31,92
1005372;3094;3094;64;2025-03-05;CZK;1552,67;62,11
1005378;3339;3339;3;2025-01-20;NOK;6876,95;573,08
1005383;2765;2765;18;2025-03-08;CZK;4437,70;177,51
1005384;665;665;96;2025-03-02;HUF;6525,94;16,34
1005428;2643;2643;2;2025-02-24;RON;4728,00;945,6
1005434;3902;3902;90;2025-03-04;GBP;7460,30;8897,3
1005470;1995;1995;23;2025-01-18;CHF;9203,51;9675,68
1005471;1743;1743;25;2025-02-01;AUD;4359,94;2179,97
1005475;38;38;6;2025-01-11;TRY;6805,37;170,13
1005498;3099;3099;9;2025-02-11;SEK;3842,57;349,32
1005503;4740;4740;38;2025-02-19;CHF;9131,69;9600,18
1005520;1466;1466;74;2025-03-02;AUD;2162,85;1081,43
1005526;4610;4610;37;2025-02-20;TRY;6959,30;173,98
1005555;1918;1918;1;2025-01-14;AUD;4710,22;2355,11
1005565;1980;1980;39;2025-02-05;ISK;2112,15;14,38
1005569;3928;3928;96;2025-02-13;DKK;1286,24;183,75
1005571;2280;2280;95;2025-01-14;GBP;5508,08;6569,05
1005591;914;914;62;2025-01-16;JPY;6059,76;38,02
1005612;2388;2388;43;2025-02-05;NOK;7324,14;610,35
1005650;2434;2434;9;2025-01-02;GBP;8044,01;9593,45
1005652;310;310;17;2025-02-19;CHF;2457,12;2583,18
1005670;632;632;47;2025-02-06;GBP;2184,97;2605,84
1005676;257;257;33;2025-03-09;PLN;9682,75;2420,69
1005681;695;695;45;2025-02-26;ISK;5668,24;38,59
1005705;904;904;71;2025-02-26;SEK;5631,21;511,93
1005712;3570;3570;48;2025-01-09;ISK;6776,43;46,13
1005717;684;684;11;2025-02-18;AUD;9125,88;4562,94
1005720;307;307;63;2025-02-17;PLN;1562,48;390,62
1005722;1205;1205;22;2025-01-19;SEK;300,08;27,28
1005723;3411;3411;29;2025-03-01;DKK;8778,93;1254,13
1005732;81;81;1;2025-03-07;CHF;2525,07;2654,62
1005749;787;787;14;2025-02-13;JPY;9370,14;58,79
1005784;3715;3715;38;2025-01-03;BGN;3962,11;1981,06
1005815;262;262;47;2025-01-27;TRY;3491,17;87,28
1005829;573;573;6;2025-01-05;CZK;6391,43;255,66
1005835;3365;3365;33;2025-01-22;DKK;7467,36;1066,77
1005839;1561;1561;69;2025-01-23;PLN;9719,29;2429,82
1005868;3869;3869;93;2025-03-06;CHF;8578,67;9018,79
1005882;703;703;56;2025-03-02;JPY;7052,60;44,25
1005893;3256;3256;63;2025-02-06;PLN;4105,64;1026,41
1005909;2092;2092;25;2025-02-11;BGN;9163,87;4581,94
1005924;924;924;52;2025-01-16;SEK;8070,96;733,72
1005936;2625;2625;55;2025-01-16;TRY;2440,32;61,01
1005972;281;281;23;2025-01-19;RON;4176,47;835,29
1005994;880;880;77;2025-01-14;AUD;953,19;476,6
1005996;2449;2449;68;2025-01-09;GBP;4070,21;4854,21
1006049;4765;4765;61;2025-01-13;BGN;5644,40;2822,2
1006054;3040;3040;88;2025-01-21;TRY;9958,79;248,97
1006065;1669;1669;99;2025-02-05;JPY;6584,47;41,31
1006069;790;790;34;2025-03-06;CZK;9757,31;390,29
1006071;2243;2243;58;2025-02-22;AUD;9078,62;4539,31
1006075;4692;4692;94;2025-03-02;RON;8269,96;1653,99
1006137;254;254;38;2025-02-11;TRY;128,36;3,21
1006145;1706;1706;1;2025-02-27;NOK;2780,07;231,67
1006146;3868;3868;86;2025-01-23;CHF;4998,73;5255,18
1006147;2680;2680;80;2025-01-18;TRY;4009,58;100,24
1006160;2908;2908;90;2025-01-13;PLN;8536,64;2134,16
1006193;433;433;1;2025-02-11;GBP;9683,64;11548,9
1006198;1022;1022;34;2025-02-10;TRY;8532,41;213,31
1006203;2285;2285;78;2025-01-21;ISK;3801,38;25,88
1006208;934;934;39;2025-02-27;DKK;9662,29;1380,33
1006251;3868;3868;86;2025-02-25;GBP;7074,61;8437,32
1006263;1552;1552;49;2025-02-04;BGN;8317,77;4158,89
1006280;247;247;5;2025-02-02;ISK;216,24;1,47
1006298;4884;4884;23;2025-01-08;CHF;8375,60;8805,3
1006318;4485;4485;47;2025-01-20;BGN;4254,24;2127,12
1006327;2338;2338;26;2025-01-15;PLN;5367,65;1341,91
1006356;1975;1975;80;2025-01-31;AUD;6702,25;3351,13
1006363;3746;3746;9;2025-01-24;HUF;155,54;0,39
1006396;766;766;29;2025-02-19;BGN;4151,64;2075,82
1006401;4440;4440;40;2025-02-08;RON;5709,96;1141,99
1006403;2235;2235;74;2025-03-03;AUD;6158,21;3079,11
1006407;1385;1385;77;2025-01-07;RON;6461,65;1292,33
1006412;4274;4274;84;2025-01-16;DKK;2904,90;414,99
1006417;1719;1719;18;2025-01-03;AUD;1207,45;603,73
1006419;4938;4938;34;2025-03-02;CZK;7092,21;283,69
1006430;3037;3037;17;2025-02-28;SEK;8128,56;738,96
1006464;2285;2285;78;2025-01-20;CHF;9622,92;10116,61
1006476;1892;1892;38;2025-01-26;TRY;659,07;16,48
1006477;2498;2498;98;2025-02-09;BGN;6016,93;3008,47
1006499;2576;2576;32;2025-01-06;ISK;9195,69;62,6
1006511;3625;3625;87;2025-03-10;DKK;3509,17;501,31
1006534;3637;3637;49;2025-02-21;SEK;4263,19;387,56
1006545;373;373;34;2025-01-12;CHF;1617,55;1700,54
1006551;2096;2096;48;2025-01-27;CZK;5328,67;213,15
1006560;952;952;28;2025-01-16;BGN;2773,50;1386,75
1006629;1597;1597;47;2025-02-15;JPY;1651,76;10,36
1006630;1898;1898;62;2025-01-31;NOK;1119,63;93,3
1006631;4044;4044;14;2025-02-18;HUF;6375,42;15,96
1006671;3923;3923;41;2025-01-26;NOK;2860,15;238,35
1006693;2231;2231;72;2025-01-01;CHF;2627,58;2762,38
1006711;1626;1626;75;2025-01-30;NOK;5476,12;456,34
1006721;705;705;77;2025-03-06;CHF;6089,45;6401,86
1006766;3486;3486;44;2025-02-07;GBP;5990,95;7144,93
1006788;3861;3861;3;2025-02-09;CZK;6458,52;258,34
1006789;1527;1527;64;2025-03-02;DKK;905,88;129,41
1006812;2806;2806;94;2025-01-08;HUF;9264,01;23,19
1006857;3558;3558;37;2025-01-31;PLN;9872,25;2468,06
1006858;1968;1968;20;2025-01-26;RON;211,90;42,38
1006891;2155;2155;62;2025-01-20;GBP;3812,42;4546,77
1006926;3105;3105;45;2025-03-04;NOK;5664,32;472,03
1006932;1877;1877;81;2025-01-31;TRY;137,37;3,43
1006941;1743;1743;25;2025-03-08;BGN;9347,22;4673,61
1006954;438;438;11;2025-01-31;HUF;9473,15;23,72
1006956;3427;3427;41;2025-02-26;AUD;5553,27;2776,64
1007015;3246;3246;99;2025-01-05;AUD;9887,18;4943,59
1007022;3786;3786;30;2025-02-02;BGN;4358,10;2179,05
1007039;3797;3797;89;2025-03-08;AUD;7335,26;3667,63
1007078;3128;3128;13;2025-02-09;GBP;5531,32;6596,76
1007102;3248;3248;81;2025-02-03;ISK;819,42;5,58
1007104;406;406;41;2025-02-26;RON;3113,21;622,64
1007132;4475;4475;19;2025-02-13;AUD;642,03;321,02
1007139;3077;3077;43;2025-01-12;DKK;6231,91;890,27
