customer_id,account_id,branch_id,transaction_date,total_amount_eur,txn_count,non_eur_without_fx_rows
4046,4046,14,2025-03-10,437.30,2,0
4385,4385,14,2025-03-10,380.40,2,0
4845,4845,14,2025-03-10,102.33,2,0
1198,1198,15,2025-03-10,8895.18,4,0
1649,1649,15,2025-03-10,28438.42,6,0
3180,3180,15,2025-03-10,13087.48,2,0
3326,3326,15,2025-03-10,12385.07,2,0
3404,3404,15,2025-03-10,0.44,2,0
3494,3494,15,2025-03-10,21.29,2,0
3970,3970,15,2025-03-10,17314.32,2,0
4738,4738,15,2025-03-10,2762.92,2,0
4928,4928,15,2025-03-10,19935.56,2,0
1314,1314,16,2025-03-10,10449.71,2,0
1511,1511,16,2025-03-10,4449.65,2,0
1655,1655,16,2025-03-10,157.59,2,0
2252,2252,16,2025-03-10,146.21,4,0
2530,2530,16,2025-03-10,374.64,2,0
300,300,17,2025-03-10,22505.19,2,0
310,310,17,2025-03-10,11468.71,2,0
859,859,17,2025-03-10,57.24,2,0
4160,4160,17,2025-03-10,2277.54,2,0
4857,4857,17,2025-03-10,17.08,2,0
97,97,18,2025-03-10,110.22,2,0
156,156,18,2025-03-10,529.47,2,0
1290,1290,18,2025-03-10,8404.90,2,0
1301,1301,18,2025-03-10,1202.96,2,0
2203,2203,18,2025-03-10,372.99,2,0
3389,3389,18,2025-03-10,1604.31,2,0
4861,4861,18,2025-03-10,113.54,2,0
903,903,19,2025-03-10,565.23,2,0
2940,2940,19,2025-03-10,137.08,2,0
3070,3070,19,2025-03-10,12106.17,2,0
3127,3127,19,2025-03-10,4553.60,2,0
4475,4475,19,2025-03-10,2788.18,2,0
26,26,20,2025-03-10,352.44,2,0
1336,1336,20,2025-03-10,1367.97,2,0
3393,3393,20,2025-03-10,4478.92,2,0
3603,3603,20,2025-03-10,2552.07,2,0
3696,3696,20,2025-03-10,29.77,2,0
4369,4369,20,2025-03-10,3783.67,2,0
4770,4770,20,2025-03-10,15678.59,2,0
449,449,21,2025-03-10,102.80,2,0
1032,1032,21,2025-03-10,36.70,2,0
1144,1144,21,2025-03-10,3047.96,2,0
1182,1182,21,2025-03-10,114.56,2,0
2883,2883,21,2025-03-10,84.04,2,0
4626,4626,21,2025-03-10,4.35,2,0
1214,1214,22,2025-03-10,6254.27,2,0
1704,1704,22,2025-03-10,74.79,2,0
3076,3076,22,2025-03-10,7061.79,2,0
3108,3108,22,2025-03-10,1683.86,2,0
3872,3872,22,2025-03-10,34.72,2,0
3948,3948,22,2025-03-10,1854.79,2,0
4718,4718,22,2025-03-10,41.87,2,0
1995,1995,23,2025-03-10,625.83,2,0
3311,3311,23,2025-03-10,284.69,2,0
3344,3344,23,2025-03-10,2753.48,2,0
3673,3673,23,2025-03-10,236.24,2,0
3818,3818,23,2025-03-10,8460.10,2,0
3976,3976,23,2025-03-10,224.39,2,0
4024,4024,23,2025-03-10,734.70,2,0
4398,4398,23,2025-03-10,672.57,2,0
4903,4903,23,2025-03-10,13133.47,2,0
955,955,24,2025-03-10,17580.43,6,0
1188,1188,24,2025-03-10,30.19,2,0
1739,1739,24,2025-03-10,6318.94,2,0
1939,1939,24,2025-03-10,444.34,2,0
2069,2069,24,2025-03-10,2636.86,2,0
2763,2763,24,2025-03-10,483.23,2,0
2985,2985,24,2025-03-10,450.34,2,0
4681,4681,24,2025-03-10,2334.73,2,0
8,8,25,2025-03-10,10.60,2,0
169,169,25,2025-03-10,514.66,2,0
271,271,25,2025-03-10,43.92,2,0
748,748,25,2025-03-10,3606.97,2,0
1339,1339,25,2025-03-10,12594.21,2,0
3123,3123,25,2025-03-10,2192.14,4,0
4296,4296,25,2025-03-10,1545.51,4,0
555,555,26,2025-03-10,412.23,2,0
1368,1368,26,2025-03-10,5211.44,2,0
1690,1690,26,2025-03-10,4759.65,2,0
1860,1860,26,2025-03-10,10709.59,2,0
2343,2343,26,2025-03-10,49.65,2,0
3233,3233,26,2025-03-10,704.24,2,0
3676,3676,26,2025-03-10,3142.51,2,0
4501,4501,26,2025-03-10,3065.77,2,0
208,208,27,2025-03-10,1588.14,2,0
895,895,27,2025-03-10,308.81,2,0
1331,1331,27,2025-03-10,1548.62,2,0
1475,1475,27,2025-03-10,448.23,2,0
1489,1489,27,2025-03-10,761.90,2,0
2323,2323,27,2025-03-10,124.69,2,0
2355,2355,27,2025-03-10,15.73,2,0
2664,2664,27,2025-03-10,48.01,2,0
3052,3052,27,2025-03-10,71.31,2,0
4141,4141,27,2025-03-10,6563.77,2,0
4700,4700,27,2025-03-10,11180.28,2,0
649,649,28,2025-03-10,1158.63,2,0
1849,1849,28,2025-03-10,3463.52,2,0
1900,1900,28,2025-03-10,2856.59,2,0
3677,3677,28,2025-03-10,12010.41,2,0
4600,4600,28,2025-03-10,6411.47,2,0
35,35,29,2025-03-10,27.15,2,0
2317,2317,29,2025-03-10,1205.30,2,0
2803,2803,29,2025-03-10,202.96,2,0
3705,3705,29,2025-03-10,16337.51,2,0
3722,3722,29,2025-03-10,7193.49,4,0
3860,3860,29,2025-03-10,120.47,2,0
4189,4189,29,2025-03-10,1332.43,2,0
4466,4466,29,2025-03-10,11534.69,2,0
2377,2377,30,2025-03-10,4179.48,2,0
3209,3209,30,2025-03-10,175.93,2,0
3664,3664,30,2025-03-10,1999.31,2,0
4154,4154,30,2025-03-10,1633.68,2,0
4468,4468,30,2025-03-10,147.50,2,0
4523,4523,30,2025-03-10,48.47,2,0
544,544,31,2025-03-10,357.70,2,0
791,791,31,2025-03-10,3816.89,2,0
1594,1594,31,2025-03-10,24.77,2,0
1771,1771,31,2025-03-10,552.45,2,0
2137,2137,31,2025-03-10,761.13,2,0
2313,2313,31,2025-03-10,83.43,2,0
2509,2509,31,2025-03-10,1017.76,2,0
2592,2592,31,2025-03-10,41.58,2,0
3109,3109,31,2025-03-10,31.34,2,0
3835,3835,31,2025-03-10,2807.83,2,0
4242,4242,31,2025-03-10,5036.64,4,0
4360,4360,31,2025-03-10,65.18,2,0
4454,4454,31,2025-03-10,1466.15,2,0
95,95,32,2025-03-10,2165.32,2,0
432,432,32,2025-03-10,519.86,2,0
1664,1664,32,2025-03-10,48.50,2,0
2612,2612,32,2025-03-10,44.61,2,0
3367,3367,32,2025-03-10,5254.09,2,0
4637,4637,32,2025-03-10,741.60,2,0
4670,4670,32,2025-03-10,1.33,2,0
345,345,33,2025-03-10,1.98,2,0
1113,1113,33,2025-03-10,770.65,2,0
1904,1904,33,2025-03-10,2285.17,4,0
2704,2704,33,2025-03-10,436.37,2,0
2851,2851,33,2025-03-10,1668.10,2,0
2901,2901,33,2025-03-10,5941.04,2,0
3208,3208,33,2025-03-10,924.24,2,0
3529,3529,33,2025-03-10,10536.15,2,0
3775,3775,33,2025-03-10,1179.51,4,0
3880,3880,33,2025-03-10,48.39,2,0
4348,4348,33,2025-03-10,6.16,2,0
22,22,34,2025-03-10,1350.25,2,0
187,187,34,2025-03-10,69.03,2,0
373,373,34,2025-03-10,48.60,2,0
1022,1022,34,2025-03-10,264.99,2,0
1278,1278,34,2025-03-10,1789.10,2,0
2504,2504,34,2025-03-10,434.70,4,0
3552,3552,34,2025-03-10,392.23,2,0
3825,3825,34,2025-03-10,3179.73,2,0
4412,4412,34,2025-03-10,8700.19,2,0
4420,4420,34,2025-03-10,45.97,2,0
568,568,35,2025-03-10,336.05,2,0
1361,1361,35,2025-03-10,3123.73,2,0
2789,2789,35,2025-03-10,29.31,2,0
2903,2903,35,2025-03-10,98.58,2,0
2949,2949,35,2025-03-10,9455.91,2,0
3547,3547,35,2025-03-10,15028.11,2,0
3962,3962,35,2025-03-10,5021.93,2,0
4634,4634,35,2025-03-10,99.71,2,0
137,137,36,2025-03-10,46.27,2,0
1833,1833,36,2025-03-10,1186.95,2,0
2077,2077,36,2025-03-10,3201.86,2,0
2097,2097,36,2025-03-10,1754.40,2,0
2368,2368,36,2025-03-10,104.47,2,0
2668,2668,36,2025-03-10,9946.24,2,0
2905,2905,36,2025-03-10,139.81,2,0
4265,4265,36,2025-03-10,1603.45,2,0
476,476,37,2025-03-10,1851.43,2,0
2063,2063,37,2025-03-10,134.70,2,0
2405,2405,37,2025-03-10,642.67,2,0
2646,2646,37,2025-03-10,1485.37,2,0
2692,2692,37,2025-03-10,111.62,2,0
2860,2860,37,2025-03-10,251.69,2,0
3952,3952,37,2025-03-10,2774.42,2,0
4812,4812,37,2025-03-10,1123.29,2,0
4909,4909,37,2025-03-10,6934.29,2,0
974,974,38,2025-03-10,3597.54,2,0
1366,1366,38,2025-03-10,7534.31,2,0
1433,1433,38,2025-03-10,4319.71,2,0
2402,2402,38,2025-03-10,2612.09,2,0
2529,2529,38,2025-03-10,1075.93,4,0
2614,2614,38,2025-03-10,2333.52,2,0
2942,2942,38,2025-03-10,5530.68,2,0
3563,3563,38,2025-03-10,6053.49,2,0
4953,4953,38,2025-03-10,1133.99,2,0
2702,2702,39,2025-03-10,11287.65,2,0
2867,2867,39,2025-03-10,605.78,2,0
3118,3118,39,2025-03-10,225.02,2,0
4573,4573,39,2025-03-10,1947.25,4,0
867,867,40,2025-03-10,33.18,2,0
887,887,40,2025-03-10,1604.26,2,0
1272,1272,40,2025-03-10,2018.07,2,0
1951,1951,40,2025-03-10,690.65,2,0
2165,2165,40,2025-03-10,257.41,2,0
2843,2843,40,2025-03-10,6.24,2,0
2892,2892,40,2025-03-10,1.26,2,0
4440,4440,40,2025-03-10,2788.68,4,0
4838,4838,40,2025-03-10,2126.85,2,0
106,106,41,2025-03-10,9387.23,2,0
1316,1316,41,2025-03-10,9423.71,2,0
1528,1528,41,2025-03-10,265.19,2,0
1733,1733,41,2025-03-10,1187.16,2,0
1826,1826,41,2025-03-10,492.37,2,0
2619,2619,41,2025-03-10,98.40,2,0
2929,2929,41,2025-03-10,5164.55,4,0
2934,2934,41,2025-03-10,5744.97,4,0
3184,3184,41,2025-03-10,6143.18,2,0
3626,3626,41,2025-03-10,4417.54,2,0
185,185,42,2025-03-10,786.00,2,0
709,709,42,2025-03-10,36.20,2,0
3243,3243,42,2025-03-10,262.30,2,0
3463,3463,42,2025-03-10,6748.85,2,0
3554,3554,42,2025-03-10,16779.39,2,0
4555,4555,42,2025-03-10,16.67,2,0
1,1,43,2025-03-10,13474.81,2,0
1420,1420,43,2025-03-10,2852.72,4,0
1519,1519,43,2025-03-10,7044.01,2,0
3392,3392,43,2025-03-10,138.14,4,0
3695,3695,43,2025-03-10,5764.60,2,0
4016,4016,43,2025-03-10,8080.85,2,0
4023,4023,43,2025-03-10,65.53,2,0
90,90,44,2025-03-10,1515.36,2,0
1221,1221,44,2025-03-10,9.57,2,0
1679,1679,44,2025-03-10,1613.89,2,0
2029,2029,44,2025-03-10,9901.95,2,0
2119,2119,44,2025-03-10,14527.40,2,0
2998,2998,44,2025-03-10,4097.05,4,0
3261,3261,44,2025-03-10,2736.90,2,0
3418,3418,44,2025-03-10,3053.19,2,0
4974,4974,44,2025-03-10,506.49,4,0
221,221,45,2025-03-10,5001.66,2,0
695,695,45,2025-03-10,10410.66,2,0
761,761,45,2025-03-10,76.82,2,0
933,933,45,2025-03-10,718.83,2,0
2019,2019,45,2025-03-10,3.95,2,0
2628,2628,45,2025-03-10,309.12,2,0
4417,4417,45,2025-03-10,12799.72,2,0
4595,4595,45,2025-03-10,1005.91,2,0
113,113,46,2025-03-10,3682.71,2,0
342,342,46,2025-03-10,2738.70,2,0
536,536,47,2025-03-10,58.03,2,0
733,733,47,2025-03-10,69.49,2,0
1881,1881,47,2025-03-10,122.94,2,0
2428,2428,47,2025-03-10,9315.23,2,0
3114,3114,47,2025-03-10,1558.55,4,0
3200,3200,47,2025-03-10,2768.83,4,0
3491,3491,47,2025-03-10,4610.27,2,0
4022,4022,47,2025-03-10,302.02,2,0
4937,4937,47,2025-03-10,677.87,2,0
1534,1534,48,2025-03-10,369.21,2,0
1622,1622,48,2025-03-10,651.60,2,0
2096,2096,48,2025-03-10,1301.91,2,0
2320,2320,48,2025-03-10,1643.54,2,0
2389,2389,48,2025-03-10,1809.48,6,0
3366,3366,48,2025-03-10,1646.95,2,0
88,88,49,2025-03-10,1049.42,2,0
92,92,49,2025-03-10,711.64,2,0
1779,1779,49,2025-03-10,6063.92,2,0
2262,2262,49,2025-03-10,3269.06,2,0
2422,2422,49,2025-03-10,7354.06,2,0
2561,2561,49,2025-03-10,707.47,2,0
374,374,50,2025-03-10,1.23,2,0
517,517,50,2025-03-10,3619.34,2,0
1229,1229,50,2025-03-10,1166.63,2,0
1508,1508,50,2025-03-10,24.06,2,0
1992,1992,50,2025-03-10,1341.21,2,0
4970,4970,50,2025-03-10,148.95,2,0
109,109,51,2025-03-10,58.75,2,0
1930,1930,51,2025-03-10,14026.02,2,0
1944,1944,51,2025-03-10,1150.53,2,0
2416,2416,51,2025-03-10,3741.08,2,0
4287,4287,51,2025-03-10,39.18,2,0
4364,4364,51,2025-03-10,11403.67,4,0
4951,4951,51,2025-03-10,73.56,2,0
409,409,52,2025-03-10,6797.50,2,0
2537,2537,52,2025-03-10,48.74,2,0
2575,2575,52,2025-03-10,17.76,2,0
2582,2582,52,2025-03-10,663.44,2,0
4147,4147,52,2025-03-10,112.73,2,0
1398,1398,53,2025-03-10,4926.21,2,0
2840,2840,53,2025-03-10,16.01,2,0
3627,3627,53,2025-03-10,97.02,2,0
4079,4079,53,2025-03-10,355.98,2,0
4363,4363,53,2025-03-10,2959.89,2,0
762,762,54,2025-03-10,10896.22,4,0
857,857,54,2025-03-10,39.39,2,0
2435,2435,54,2025-03-10,6476.45,2,0
3112,3112,54,2025-03-10,4984.04,2,0
3276,3276,54,2025-03-10,7.66,2,0
4611,4611,54,2025-03-10,4656.96,2,0
1750,1750,55,2025-03-10,426.60,2,0
1943,1943,55,2025-03-10,676.03,2,0
2015,2015,55,2025-03-10,119.33,2,0
4085,4085,55,2025-03-10,3654.08,2,0
4311,4311,55,2025-03-10,161.46,2,0
4534,4534,55,2025-03-10,31.85,2,0
4902,4902,55,2025-03-10,969.50,2,0
34,34,56,2025-03-10,82.70,2,0
276,276,56,2025-03-10,2841.55,4,0
524,524,56,2025-03-10,113.89,2,0
1791,1791,56,2025-03-10,120.08,2,0
1836,1836,56,2025-03-10,94.28,2,0
1998,1998,56,2025-03-10,76.16,2,0
2050,2050,56,2025-03-10,2396.40,2,0
2144,2144,56,2025-03-10,2635.79,2,0
3346,3346,56,2025-03-10,23351.19,2,0
3435,3435,56,2025-03-10,5787.01,2,0
3502,3502,56,2025-03-10,570.29,2,0
4172,4172,56,2025-03-10,1002.85,2,0
272,272,57,2025-03-10,83.11,2,0
804,804,57,2025-03-10,4690.47,2,0
967,967,57,2025-03-10,78.60,2,0
2240,2240,57,2025-03-10,9346.60,2,0
3263,3263,57,2025-03-10,6378.91,2,0
3394,3394,57,2025-03-10,9.07,2,0
3760,3760,57,2025-03-10,480.63,2,0
4707,4707,57,2025-03-10,2883.33,4,0
953,953,58,2025-03-10,2032.08,2,0
1064,1064,58,2025-03-10,4230.18,4,0
1232,1232,58,2025-03-10,656.42,2,0
1375,1375,58,2025-03-10,1464.74,2,0
2243,2243,58,2025-03-10,1724.04,2,0
2311,2311,58,2025-03-10,85.17,2,0
2414,2414,58,2025-03-10,1586.19,2,0
2993,2993,58,2025-03-10,9811.15,2,0
3219,3219,58,2025-03-10,1917.36,2,0
3812,3812,58,2025-03-10,343.96,2,0
4376,4376,58,2025-03-10,13744.66,2,0
4826,4826,58,2025-03-10,36.89,2,0
673,673,59,2025-03-10,18145.12,2,0
2623,2623,59,2025-03-10,8821.58,2,0
3324,3324,59,2025-03-10,107.53,2,0
3507,3507,59,2025-03-10,572.12,2,0
3905,3905,59,2025-03-10,55.24,2,0
4056,4056,59,2025-03-10,7598.94,2,0
516,516,60,2025-03-10,479.22,2,0
1135,1135,60,2025-03-10,1220.30,4,0
1729,1729,60,2025-03-10,83.80,2,0
2025,2025,60,2025-03-10,999.33,2,0
2631,2631,60,2025-03-10,6346.68,6,0
298,298,61,2025-03-10,3150.06,2,0
368,368,61,2025-03-10,16.33,2,0
693,693,61,2025-03-10,8.91,2,0
1179,1179,61,2025-03-10,1330.08,2,0
1617,1617,61,2025-03-10,448.95,2,0
1724,1724,61,2025-03-10,95.29,2,0
3601,3601,61,2025-03-10,20423.81,2,0
3702,3702,61,2025-03-10,2363.96,2,0
4014,4014,61,2025-03-10,440.57,4,0
4653,4653,61,2025-03-10,2813.34,2,0
615,615,62,2025-03-10,1599.90,2,0
1224,1224,62,2025-03-10,12.14,2,0
1320,1320,62,2025-03-10,758.22,2,0
2310,2310,62,2025-03-10,4510.39,2,0
2770,2770,62,2025-03-10,921.25,2,0
2773,2773,62,2025-03-10,70.43,2,0
2921,2921,62,2025-03-10,4893.02,4,0
3819,3819,62,2025-03-10,14907.42,2,0
4255,4255,62,2025-03-10,192.55,2,0
4508,4508,62,2025-03-10,23.32,2,0
4586,4586,62,2025-03-10,248.50,2,0
295,295,63,2025-03-10,6565.61,2,0
699,699,63,2025-03-10,11382.76,2,0
702,702,63,2025-03-10,17090.39,2,0
987,987,63,2025-03-10,722.06,2,0
1267,1267,63,2025-03-10,1362.34,2,0
1393,1393,63,2025-03-10,4753.15,2,0
2112,2112,63,2025-03-10,569.91,2,0
2999,2999,63,2025-03-10,2562.98,2,0
3661,3661,63,2025-03-10,4339.70,4,0
3714,3714,63,2025-03-10,43.07,4,0
3859,3859,63,2025-03-10,252.78,2,0
4649,4649,63,2025-03-10,84.35,2,0
1846,1846,64,2025-03-10,118.97,2,0
2225,2225,64,2025-03-10,7.44,2,0
2514,2514,64,2025-03-10,55.01,2,0
3385,3385,64,2025-03-10,1398.64,2,0
3633,3633,64,2025-03-10,19821.85,2,0
4130,4130,64,2025-03-10,3168.55,2,0
4447,4447,64,2025-03-10,10322.88,2,0
4741,4741,64,2025-03-10,18114.05,2,0
40,40,65,2025-03-10,68.59,2,0
55,55,65,2025-03-10,3689.36,2,0
319,319,65,2025-03-10,2986.90,2,0
528,528,65,2025-03-10,736.24,2,0
1629,1629,65,2025-03-10,1355.17,2,0
1780,1780,65,2025-03-10,35.57,2,0
1921,1921,65,2025-03-10,493.35,2,0
2254,2254,65,2025-03-10,353.81,2,0
3456,3456,65,2025-03-10,3524.18,2,0
1075,1075,66,2025-03-10,23135.41,4,0
1515,1515,66,2025-03-10,110.81,2,0
2269,2269,66,2025-03-10,997.70,2,0
2325,2325,66,2025-03-10,2490.73,2,0
3473,3473,66,2025-03-10,1498.65,2,0
4207,4207,66,2025-03-10,19891.59,2,0
940,940,67,2025-03-10,0.87,2,0
1464,1464,67,2025-03-10,279.57,2,0
1473,1473,67,2025-03-10,2370.63,4,0
1632,1632,67,2025-03-10,21179.74,2,0
2057,2057,67,2025-03-10,8389.12,2,0
2305,2305,67,2025-03-10,414.72,2,0
3417,3417,67,2025-03-10,4155.91,2,0
3723,3723,67,2025-03-10,290.02,2,0
4004,4004,67,2025-03-10,7351.19,2,0
3771,3771,68,2025-03-10,497.94,2,0
4648,4648,68,2025-03-10,2309.97,2,0
4883,4883,68,2025-03-10,2749.48,2,0
556,556,69,2025-03-10,2825.22,2,0
613,613,69,2025-03-10,388.81,2,0
715,715,69,2025-03-10,120.17,2,0
1879,1879,69,2025-03-10,3120.45,2,0
2036,2036,69,2025-03-10,3942.26,2,0
2393,2393,69,2025-03-10,196.94,2,0
2647,2647,69,2025-03-10,55.63,2,0
3032,3032,69,2025-03-10,8391.85,2,0
4317,4317,69,2025-03-10,110.23,2,0
70,70,70,2025-03-10,2550.13,6,0
2401,2401,70,2025-03-10,5595.33,2,0
3383,3383,70,2025-03-10,77.20,2,0
3691,3691,70,2025-03-10,409.59,2,0
94,94,71,2025-03-10,6561.62,2,0
510,510,71,2025-03-10,4590.79,2,0
707,707,71,2025-03-10,4597.08,2,0
1263,1263,71,2025-03-10,3607.69,2,0
1604,1604,71,2025-03-10,865.08,2,0
2970,2970,71,2025-03-10,116.11,2,0
3134,3134,71,2025-03-10,1189.18,2,0
3455,3455,71,2025-03-10,4088.08,2,0
4225,4225,71,2025-03-10,626.64,2,0
4890,4890,71,2025-03-10,399.73,2,0
4957,4957,71,2025-03-10,13744.25,2,0
83,83,72,2025-03-10,702.74,2,0
223,223,72,2025-03-10,66.69,2,0
259,259,72,2025-03-10,4833.73,2,0
283,283,72,2025-03-10,2771.73,2,0
287,287,72,2025-03-10,411.91,2,0
1405,1405,72,2025-03-10,164.24,2,0
2687,2687,72,2025-03-10,769.15,4,0
3492,3492,72,2025-03-10,85.11,2,0
3531,3531,72,2025-03-10,696.62,2,0
4251,4251,72,2025-03-10,1548.44,2,0
4314,4314,72,2025-03-10,358.09,2,0
4316,4316,72,2025-03-10,768.93,2,0
610,610,73,2025-03-10,14.76,2,0
1932,1932,73,2025-03-10,2361.08,2,0
1933,1933,73,2025-03-10,3808.66,4,0
2703,2703,73,2025-03-10,5655.27,2,0
3086,3086,73,2025-03-10,56.31,2,0
3460,3460,73,2025-03-10,49.25,2,0
3590,3590,73,2025-03-10,2761.08,2,0
230,230,74,2025-03-10,7668.75,2,0
1190,1190,74,2025-03-10,9.37,2,0
3187,3187,74,2025-03-10,15649.89,2,0
3690,3690,74,2025-03-10,948.63,2,0
4444,4444,74,2025-03-10,5.32,2,0
4462,4462,74,2025-03-10,13637.43,4,0
4569,4569,74,2025-03-10,2829.69,2,0
72,72,75,2025-03-10,7039.66,2,0
365,365,75,2025-03-10,1575.35,2,0
532,532,75,2025-03-10,2305.25,2,0
700,700,75,2025-03-10,4019.49,2,0
1574,1574,75,2025-03-10,901.96,2,0
1694,1694,75,2025-03-10,688.79,2,0
2216,2216,75,2025-03-10,651.64,2,0
2518,2518,75,2025-03-10,602.49,2,0
2652,2652,75,2025-03-10,63.73,2,0
3063,3063,75,2025-03-10,9311.02,2,0
3596,3596,75,2025-03-10,276.07,2,0
4145,4145,75,2025-03-10,2614.32,2,0
4289,4289,75,2025-03-10,2194.01,2,0
4745,4745,75,2025-03-10,120.16,2,0
551,551,76,2025-03-10,943.63,2,0
1142,1142,76,2025-03-10,1397.22,2,0
1065,1065,77,2025-03-10,29.21,2,0
1311,1311,77,2025-03-10,48.22,2,0
3683,3683,77,2025-03-10,114.53,2,0
4029,4029,77,2025-03-10,1425.39,2,0
4715,4715,77,2025-03-10,6888.56,2,0
906,906,78,2025-03-10,54.35,2,0
1016,1016,78,2025-03-10,16962.05,2,0
1021,1021,78,2025-03-10,3703.51,2,0
1758,1758,78,2025-03-10,3934.88,2,0
2490,2490,78,2025-03-10,492.58,2,0
2546,2546,78,2025-03-10,1072.40,2,0
2663,2663,78,2025-03-10,155.37,2,0
3104,3104,78,2025-03-10,45.36,2,0
3591,3591,78,2025-03-10,1163.41,2,0
4193,4193,78,2025-03-10,1284.91,2,0
4913,4913,78,2025-03-10,124.80,2,0
116,116,79,2025-03-10,335.36,2,0
1558,1558,79,2025-03-10,3508.67,2,0
2501,2501,79,2025-03-10,3.65,2,0
2945,2945,79,2025-03-10,1.43,2,0
